edition_key,Year,City,Language,Format,Elements (Arithmetical Books),Elements (Geometrical Books),Geometrical Dotted Lines,Token Lines,"Other ""Dotted"" Lines",Has dotted diagrams in the wide sense,RAW Dotted lines,Lines classified,Notes,Has diagrams,Reprint of,Final Architecture,Final Arithmetic,Final Astronomy,Final Cartography,Final Commercial Mathematics,Final Construction,Final Cosmography,Final Geography,Final Gnomonics & Horology,Final Instrument Construction,Final Instrument Use,Final Mechanics,Final Military Engineering,Final Music Theory,Final Navigation,Final Perspective,Final Practical Geometry,Final Surveying,Final Theoretical Mathematics,Final Trigonometry
bib-10,1570,Paris,FRENCH,4,,,Geometrical,,,Yes,Geometrical,Yes,p. 131 is the only one (and it eah...),TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-42,1570,Pesaro,LATIN,,,,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated
bib-252,1570,,LATIN,,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,,FALSE,,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
E4JQEB,1570,Paris,FRENCH,4,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,,FALSE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-7,1571,London,ENGLISH,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,secondary,primary,secondary,secondary,unrelated
Q4F538,1571,Nuremberg,GERMAN,2,,,Geometrical,,,Yes,Geometrical,Yes,https://www.digitale-sammlungen.de/view/bsb00084126?page=9,TRUE,,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated
bib-16,1572,Paris,FRENCH,,,,,,,No (has diagrams),No (has diagrams),Yes,Segmented,TRUE,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-223,1572,Frankfurt,GERMAN,,,,,,Other (Counting board),Yes,Other (Counting board),Yes,Merchent tokens: https://books.google.co.il/books?id=2W9mAAAAcAAJ&pg=PA14#v=onepage&q&f=false Segmenered https://books.google.co.il/books?id=2W9mAAAAcAAJ&pg=PA83#v=onepage&q&f=false + https://books.google.co.il/books?id=2W9mAAAAcAAJ&pg=PA109-IA1#v=onepage&q&f=false,TRUE,,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,secondary,unrelated,unrelated,unrelated
LQNZBJ,1572,Paris,FRENCH,4,,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,secondary,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-17,1573,Paris,FRENCH,,,,,,,No (has diagrams),No (has diagrams),Yes,Segmented https://www.google.co.il/books/edition/De_l_vsage_de_geometrie_Par_Iaques_Pelet/53FTQXywPiMC?hl=en&gbpv=1&pg=PA45&printsec=frontcover ; I think it's a reprint of prev peltier,TRUE,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-264,1573,Antwerp,FRENCH,,,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,primary
5J1UUA,1573,Paris,FRENCH,4,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,,FALSE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-131,1574,London,ENGLISH,,,,,"Tokens (triagular, vubic)",,Yes,"Tokens (triagular, vubic)",Yes,Tokens: https://www.google.co.il/books/edition/The_pathway_to_knowledg_etc/H_95rik6X4UC?hl=en&gbpv=1&pg=PP22&printsec=frontcover,,,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-255,1574,Cologne,LATIN,,,,Geometrical,,,Yes,Geometrical,Yes,Dotted https://archive.org/details/ita-bnc-mag-00000949-001/page/n132/mode/2up,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated
bib-24,1575,Bordeaux,LATIN,,,,Geometrical,,,Yes,Geometrical,Yes,Dotted: https://www.google.co.il/books/edition/Definitiones_elementi_quincti_et_sexti/dUAUWfQ5hlIC?hl=en&gbpv=1&pg=PT22&printsec=frontcover It's the defs of the Elemenys books 5+6!,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
bib-28,1576,Paris,FRENCH,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,primary,unknown,unrelated,unrelated,secondary
bib-25,1577,Bordeaux,FRENCH,,,,"Geometrical (many), Tokens (rectangle)","Geometrical (many), Tokens (rectangle)",,Yes,"Geometrical (many), Tokens (rectangle)",Yes,Dotted https://www.google.co.il/books/edition/L_Arpanterie_D_Elie_Vinet/IQBaAAAAcAAJ? https://www.google.co.il/books/edition/L_Arpanterie_D_Elie_Vinet/IQBaAAAAcAAJ?hl=en&gbpv=1&pg=PP66&printsec=frontcover https://www.google.co.il/books/edition/L_Arpanterie_D_Elie_Vinet/IQBaAAAAcAAJ?hl=en&gbpv=1&pg=PP168&printsec=frontcover Token https://www.google.co.il/books/edition/L_Arpanterie_D_Elie_Vinet/IQBaAAAAcAAJ?hl=en&gbpv=1&pg=PP38&printsec=frontcoverhl=en&gbpv=1&pg=PP23&printsec=frontcover https://www.google.co.il/books/edition/L_Arpanterie_D_Elie_Vinet/IQBaAAAAcAAJ?hl=en&gbpv=1&pg=PP43&printsec=frontcover ,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated
ustc-32,1578,Paris,FRENCH,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-64,1579,Paris,LATIN,,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,,FALSE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated
bib-153,1579,London,ENGLISH,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-128,1580,Basel,LATIN,,,,Geometrical,,,Yes,Geometrical,Yes,Dotted: https://www.google.co.il/books/edition/P_Rami_Arithmeticae_Libri_Duo_Geometriae/4kd25JMJF4AC?hl=en&gbpv=1&pg=RA1-PA76&printsec=frontcover,TRUE,,unknown,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated
bib-156,1581,Venice,ITALIAN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,secondary,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
ZGOHUR,1581,Rome,LATIN,,,,Geometrical (many),,,Yes,Geometrical (many),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated
bib-29,1582,Paris,FRENCH,,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,Only architecture plans,FALSE,,primary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-185,1582,Antwerp,DUTCH,,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,,FALSE,,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-262,1582,Antwerp,FRENCH,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7Y5IWJ,1582,Antwerp,FRENCH,8,,,,,,No (has diagrams),No (has diagrams),Yes,Probably reprint of bib-262,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-19,1583,Alcala,SPANISH,,,,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/Tratado_de_Geometria_practica_y_speculat/7-ItjGhUIogC? https://www.google.co.il/books/edition/Tratado_de_Geometria_practica_y_speculat/7-ItjGhUIogC?hl=en&gbpv=1&pg=PA185&printsec=frontcoverhl=en&gbpv=1&pg=PA181&printsec=frontcover,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated
bib-152,1583,Venice,ITALIAN,,,,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-253,1583,Lyon,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
5V691B,1583,Basel,LATIN,8,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,,FALSE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated
B9OW5O,1583,Vienna,GERMAN,2,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,"Classify as ""art""?",FALSE,,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated
612FNN,1583,Rome,ITALIAN,2,,,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/Le_due_regole_della_prospettiva_pratica/17YyRxt3OYYC?hl=en&gbpv=1&pg=RA1-PA55&printsec=frontcover,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unknown,unrelated,unrelated,unrelated
bib-87,1584,Brescia,ITALIAN,,,,Geometrical,,,Yes,Geometrical,Yes,classify as Agriculture / Hydraulics ? https://www.google.co.il/books/edition/Dell_Arte_Del_Misurare_Libri_Due_Nel_Pri/NCFaAAAAcAAJ?hl=en&gbpv=1&pg=PA24&printsec=frontcover,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated
bib-181,1584,Paris,LATIN,,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,classify: pedagogy,FALSE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
TMVVZN,1584,Milan,ITALIAN,4,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,classify: art?,FALSE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
MYFHIS,1584,Venice,ITALIAN,4,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,Only architecture plans,FALSE,,primary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
bib-5,1585,Paris,FRENCH,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-35,1585,Turin,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
bib-90,1585,Paris,FRENCH,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-186,1585,Leiden,FRENCH,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,primary,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated
bib-258,1585,Leiden,DUTCH,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
TJONV6,1585,Paris,FRENCH,8,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
X2T7PY,1586,Rome,LATIN,,,,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
X5YBIB,1586,Paris,FRENCH,4,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
144JC3,1586,Ferrara,ITALIAN,4,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,primary,unrelated
Ferrara_1587,1587,Ferrara,ITALIAN,,,,,,,No (has diagrams),No (has diagrams),Yes,dots for angles equality,TRUE,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,primary,unrelated
bib-45,1587,Venice,ITALIAN,,,,Geometrical,,,Yes,Geometrical,Yes,Only one (and it's also eahh...) p. 349,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-154,1590,London,ENGLISH,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-259,1591,Tours,LATIN,,,,Token + Geometrical,Token + Geometrical,,Yes,Token + Geometrical,Yes,https://books.google.co.il/books?id=m4mmV9ZT3qEC&pg=PA29#v=onepage&q&f=false https://books.google.co.il/books?id=m4mmV9ZT3qEC&pg=PA85#v=onepage&q&f=false,TRUE,,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unknown,unrelated,primary,unrelated
bib-52,1592,Venice,LATIN,,,,Geometrical,,,Yes,Geometrical,Yes,"Also, intresting way to mark angles, resembles the instrument used to measure/draw it",TRUE,,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
XHZ2XV,1592,Tournon,LATIN,12,,,,,,No (has diagrams),No (has diagrams),Yes,reprint of bib-259 ?,TRUE,,unrelated,primary,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated
Tours_1593,1593,Tours,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
JZ3MT9,1593,Antwerp,LATIN,4,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,,FALSE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,secondary,unrelated
bib-59,1594,Leiden,LATIN,,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,,FALSE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-105,1594,Nuremberg,LATIN,,,,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/De_quadrante_geometrico_libellus_In_quo/pRN0YLpUbccC?hl=en&gbpv=1&pg=PA28&printsec=frontcover,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-67,1595,Paris,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-40,1596,Delft,GERMAN,,,,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/Van_Den_Circkel/nVlRAAAAcAAJ?hl=en&gbpv=1&pg=PA1&printsec=frontcover,TRUE,,unrelated,secondary,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,primary
GGD02E,1596,Venice,ITALIAN,2,,,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/La_pratica_di_prospettiua_del_caualiere/txlM4hOL3C8C?hl=en&gbpv=1&pg=PA7&printsec=frontcover,TRUE,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,primary,unknown,unrelated,unrelated,unrelated
bib-76,1598,Venice,LATIN,,,,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/Cosmographia_in_quatuor_libros_distribut/oIpV8g_tEt8C?hl=en&gbpv=1&pg=RA1-PA16&printsec=frontcover,TRUE,,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,secondary,unrelated
bib-127,1598,Nuremberg,LATIN,,,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-148,1598,Paris,FRENCH,,,,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/Gouuernail_d_Ambroise_Bachot_capitaine_i/NFIOWGh5Vx0C?hl=en&gbpv=1&pg=PA6&printsec=frontcover,TRUE,,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated
bib-150,1598,London,ENGLISH,,,,,,Other (Army layout),Yes,Other (Army layout),Yes,Also classify as military/war ?,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated
2BRI1Z,1598,Oxford,ENGLISH,2,,,,,,No (has diagrams),No (has diagrams),Yes,classify: art?,TRUE,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
bib-20,1599,Rome,ITALIAN,,,,Geometrical + Tokens (triangular),Geometrical + Tokens (triangular),,Yes,Geometrical + Tokens (triangular),Yes,https://www.google.co.il/books/edition/Geometria_Prattica/zQQMJjpmuncC?hl=en&gbpv=1&pg=PR14&printsec=frontcover https://www.google.co.il/books/edition/Geometria_Prattica/zQQMJjpmuncC?hl=en&gbpv=1&pg=PR15&printsec=frontcover,TRUE,,secondary,unrelated,unrelated,unrelated,unrelated,secondary,secondary,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated
bib-209,1600,Leiden,DUTCH,,,,Geometrical,,,Yes,Geometrical,Yes,https://books.google.co.il/books?id=cyXGxgvRGZoC&pg=PA49#v=onepage&q&f=false,TRUE,,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated
bib-210,1600,Leiden,DUTCH,,,,Geometrical,,,Yes,Geometrical,Yes,https://books.google.nl/books?id=TBC0001otDUC&hl=iw&pg=PA118#v=onepage&q&f=false,TRUE,,secondary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated
bib-280,1600,Paris,FRENCH,,,,Geometrical,,,Yes,Geometrical,Yes,https://gallica.bnf.fr/ark:/12148/bpt6k1512241w,TRUE,,secondary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,primary,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated
WHEESV,1600,Pesaro,LATIN,2,,,Geometrical,,,Yes,Geometrical,Yes,in the TP! https://books.google.co.il/books?id=jPNDvGJS_YkC&pg=PP1#v=onepage&q&f=false but i'm almostt sure nowhere else - dowloaded anyways,TRUE,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,primary,unknown,unrelated,unrelated,unrelated
NTML0S,1600,Venice,ITALIAN,4,,,Geometrical,,,Yes,Geometrical,Yes,https://euclides.huma-num.fr/resourcebox/diagrams?key=NTML0S,TRUE,,primary,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unrelated
ustc-29,1602,Paris,FRENCH,,,,Geometrical,,,Yes,Geometrical,Yes,https://euclides.huma-num.fr/resourcebox/diagrams?key=ustc-29,TRUE,,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
bib-93,1603,Venice,ITALIAN,,,,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/Pratica_d_arithmetica_e_geometria_etc/4YxmAAAAcAAJ?hl=en&gbpv=1&pg=PA280-IA1&printsec=frontcover,TRUE,,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated
bib-212,1603,Amsterdam,DUTCH,,,,Geometrical + Other (Counting board),,Geometrical + Other (Counting board),Yes,Geometrical + Other (Counting board),Yes,https://books.google.co.il/books?id=FRJiAAAAcAAJ&pg=SL4791-PA168#v=onepage&q&f=false,TRUE,,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
bib-283,1603,London,ENGLISH,,,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,probably a reprint,FALSE,,unrelated,primary,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
