classification_key,short_title,year,city,language,author_or_editor,publisher,format,volumes,ustc_id,notes,has_diagrams,primary_classes,secondary_classes,unknown_classes,primary_count,secondary_count,unknown_count,Architecture,Arithmetic,Astronomy,Cartography,Commercial Mathematics,Construction,Cosmography,Geography,Gnomonics & Horology,Instrument Construction,Instrument Use,Mechanics,Military Engineering,Music Theory,Navigation,Perspective,Practical Geometry,Surveying,Theoretical Mathematics,Trigonometry
DMOHT7,"Seconde partie de la Perspective pratique qui donne une grande facilité à trouver les apparences de tous les corps solides, tant reguliers qu'irreguliers, penchez, renversez, inclinez, et declinez comme l'on voudra soit qu'ils posent sur terre, ou qu'ils",1647,Paris,FRENCH,Jean Du Breuil,François Langlois,4,1,6039378,,,Perspective,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
Douai_1620,,1620,Douai,LATIN,Charles Malapert de Mons,Belleri,8,1,-,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Douai_1625,,1625,Douai,LATIN,Charles Malapert de Mons,,12,1,-,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
E4JQEB,L'arithmetique demonstree ,1570,Paris,FRENCH,Pierre Forcadel,"Jérôme de Marnef, Guillaume Cavellat",4,1,23247,,False,Arithmetic,,,1,0,0,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
E7J0Y4,Le second livre de l'arithmetique ,1556,Paris,FRENCH,Pierre Forcadel,"Guillaume Cavellat, Benoît Prévost",4,1,23228,,,Arithmetic,,,1,0,0,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
E8K2CK,Geometriæ speciosæ elementa,1659,Bologna,LATIN,Pietro Mengoli,Giovanni Battista Ferroni,,1,,"I used https://old.maa.org/press/periodicals/convergence/mathematical-treasures-mengolis-elements-of-geometry for the title page, since the facsimile I found doesn't have a title page.",,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
EFXRG3,"Abrégé ou racourcy de la perspective par l'imitation, dans lequel est traicté du moyen de changer une perspective en une autre semblable; ensemble l'invention d'approprier deux ou plusieurs perspectives, ou parties d'icelles en une mesme",1631,Paris,FRENCH,Jean Louis Vaulézard,Jean Louis Vaulézard,8,1,6032231,,,Perspective,Instrument Use,,1,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
EJGRZN,"Élémens de géométrie, où par une méthode courte & aisée l'on peut apprendre ce qu'il faut sçavoir d'Euclide, d'Archimède, d'Apollonius, & les plus belles inventions des anciens & des nouveaux géomètres",1671,Paris,FRENCH,Ignace-Gaston Pardies,Sébastien Mabre-Cramoisy,,1,6164614,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
EN496R,Les Cinq rangs de l'architecture,1617,Amsterdam,FRENCH,Hans Vredeman de Vries,Jean Janson,2,1,1507693,,,Architecture,Perspective,,1,1,0,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated
EW54CX,Soli deo gloria. Ein schoener kurtzer extract der geometriae unnd perspectiuae wie die perspectiua ohne geometria nicht sein kan hernacher wie die perspectiua in ihren wercken auff drey weg zuverstehen. Welches alles den alten authoribus zu ehren damit derselben nicht vergessen werde inn diesen extract von newem allen liebhabern dieser kunst zum besten verfast ist,1599,Nuremberg,GERMAN,Paul Pfinzing,Valentin Fuhrmann,2,1,694066,,,Perspective,,Practical Geometry | Theoretical Mathematics,1,0,2,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unknown,unrelated,unknown,unrelated
Edinburgh_1795,"Elements of Geometry, containing the first six books of Euclid with two books on the geometry of solids",1795,Edinburgh,ENGLISH,John Playfair,"Bell, Bradfute",8,1,,,,Theoretical Mathematics | Trigonometry,,,2,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary
FA6MQ0,"The Pathway to Knowledg, containing the First Principles of Geometrie",1551,London,ENGLISH,Robert Recorde,Reyner Wolfe,4,1,504669,,,Instrument Use | Practical Geometry,,,2,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
Ferrara_1587,Della nuova geometria,1587,Ferrara,ITALIAN,Francesco Patrizi,Vittorio Baldini,,1,,,True,Theoretical Mathematics,,Architecture | Practical Geometry,1,0,2,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,primary,unrelated
Ferrara_1628,,1628,Ferrara,LATIN,Caterino Doino,Franciscum Succium,12,1,-,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Florence_1573,,1573,Florence,ITALIAN,Ignazio Danti,Giunti,4,,,,True,Perspective,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
Florence_1674,"Quinto Libro degli Elementi di Euclide, ovvero Scienza Universale delle Proporzioni spiegata colla dottrina del Galileo",1674,Florence,ITALIAN,Vincenzo Viviani,,,1,,,True,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Florence_1690,"Elementi piani, e solidi agl'illustrissimi sig. dell'Accademia de' nobili",1690,Florence,ITALIAN,Vincenzio Viviani,Cesare e Francesco Bindi,12,1,1720908,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Frankfurt_1506,Algorithmus mercatorrum variis proposicionibus eorundem contractibus inseruientibus multum decoratus,1506,Frankfurt,LATIN,Ambrosius Lacher,,4,1,610758,"I suspect this is not a title page, but only a title. From eip: ""Preclarissimus liber elementorum Euclidis perspicacissimi. in artem Geometrie incipit quamfoelicissime""",,,,Commercial Mathematics,0,0,1,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Frankfurt_1607,,1607,Frankfurt,LATIN,Christopher Clavius,Nicolai Hoffmanni,8,2,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Frankfurt_1654,"Euclidis Posteriores Libri IX Accessit liber XVI. De Solidorum Regularium cuiuslibet intra quodlibet comparatione, Omnes Perspicuis Demonstrationibus, accuratisque scholiis illustrati Auctore Christophoro Clavio Bambergensi e Societate Jesu: nunc quarto editi, ac multarum rerum accessione post primam editionem locupletati",1654,Frankfurt,LATIN,Christopher Clavius,Heirs of Jonas Rose,8,2,2658335,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Frankfurt_1674,,1674,Frankfurt,LATIN,Gaspar Schott,Johann Arnold Cholini,2,1,,,,,Mechanics,,0,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
G2T7OK,Instruction en la science de perspective,1625,The Hague,FRENCH,Hendrik Hondius,Hendrik Hondius,2,1,1031522,,,Perspective,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
G5IUDY,"Zwey Bücher, das erste von der ohne und durch die Arithmetica gefundenen Perspectiva, das andere von dem dartzu gehörigen Schatten / Andreas Albertus",1623,Nuremberg,GERMAN,Andreas Albrecht,Simon Halbmaier,4,1,2164208,,,Perspective,Arithmetic,,1,1,0,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
GD0NV0,"Pantographice, seu ars delineandi res quaslibet per parallelogrammum lineare seu cauum, mechanicum, mobile, libellis duobus explicata, & demonstrationibus geometricis illustrata",1631,Rome,LATIN,Christoph Scheiner,Lodovico Grignani,4,1,4014028,,,Instrument Use | Perspective | Practical Geometry,Mechanics,,3,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated
GDC2CP,"Archimedis opera quae extant, novis demonstrationibus commentariisque illustrata",1615,Paris,LATIN,David Rivault,Claude Morel,,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
GDIHEX,"Pratica di fabricar scene, e machine ne' teatri. Ristampata di novo coll'aggiunta del secondo libro",1638,Ravenna,ITALIAN,Nicola Sabbattini,"Pietro De Paoli, Giovanni Battista Giovannelli",,1,4009428,,,Construction | Mechanics | Perspective,,,3,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
GGD02E,La pratica di prospettiua del cavalier Lorenzo Sirigatti al serenissimo Ferdinando Medici granduca di Toscana,1596,Venice,ITALIAN,Lorenzo Sirigatti,Girolamo De Franceschi,2,1,856542,,True,Perspective,,Architecture | Instrument Use | Practical Geometry,1,0,3,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,primary,unknown,unrelated,unrelated,unrelated
GY5QLD,Euclidis Megarensis Mathematici Clarissimi Elementorum geometricorum Lib. XV,1537,Basel,LATIN,Bartolomeo Zamberti,Johann Herwagen,4,1,,,,Astronomy | Theoretical Mathematics,,,2,0,0,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Geneva_1611,Les six premiers livres des Eléments géométriques,1611,Geneva,FRENCH,"Jacques Peletier, Jean de Tournes",Jean di Tournes,4,1,6702902,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Glasgow_1756,Euclidis Elementorum libri priores sex item undecimus et duodecimus ex versione latina Federici Commandini,1756,Glasgow,LATIN,Robert Simson,"Robert Foulis, Andrew Foulis",4,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Graz_1636,Euclidis sex primi elementorum geometricorum libri cum parte undecimi ex majoribus Clavij commentarijs in commodiorem forma contracti,1636,Graz,LATIN,"Christopher Clavius, Christoph Grienberger, Jacobus Honoratus Durandus",Heirs of Ernst Widmanstetter,12,1,-,,,,Trigonometry,,0,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary
HFRLRC,Onderwijsinge in de perspective conste,1623,The Hague,DUTCH,Hendrik Hondius,Hendrik Hondius,2,1,1018598,,,Perspective,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
Halle_1758,"Euklid’s Geometrie, oder die sechs ersten Bücher der Elemente nebst dem eilften und zwölften aus dem Griechichen übersetz",1773,Halle,GERMAN,Johann Friedrich Lorenz,Weisenhaus,,1,-,"Copy Rights: only non commercial usage: https://www.deutsche-digitale-bibliothek.de/item/YOJ3OT4S4PNFYPV7VJXC6DRBF235UK2C (Version 1818, here Wiasenhaus is mentioned as publisher). ",,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Hamburg_1633,,1633,Hamburg,DUTCH,Jacob Willemsz,Volrad Gaubisch,4,1,-,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Hamburg_1638,,1638,Hamburg,DUTCH,Jacob Willemsz,Hendrik Werner,4,1,-,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Hardy-1,,1643,Paris,FRENCH,Claude Hardy,Robert Sara,,,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Hardy-2,,1643,Paris,FRENCH,Claude Hardy,Robert Sara,,,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Hardy-3,,1613,Paris,FRENCH,Claude Hardy,Jean Sara,,,,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Hardy-4,"La nullité, futilité, ou niaiserie, et fausseté de la prétendue quadratrice, mise au jour par Jacques Pujos en un libelle imprimé à Roüen en l'année 1642. chez Guillaume Loyselet, ruë Gantiere. Ou de plus il est monstré que cette quadratrice est une vieil",1643,Paris,FRENCH,Claude Hardy,Robert Sara,,,6041292,,,Theoretical Mathematics,,Trigonometry,1,0,1,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unknown
Hardy-5,"Troisieme refutation de la fausse quadrature du cercle de M. de Laleu, si souvent agitee depuis vingt-quatre ans. Où il est monstré par une demonstration lineaire, & independante de la quarante-septiesme du premier livre d'Euclide, que le quarré des huict",1644,Paris,FRENCH,Claude Hardy,Robert Sara,,,6028221,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Hardy-6,"Seconde refutation de la prétendue quadrature du cercle. Remise au jour és page 130. & 131. du livre intitulé, Propositions mathematiques de monsieur de La Leu, demonstrées par J. Pujos, imprimé en l'an 1638. Où il est demonstré que le quarré des huict ne",1641,Paris,FRENCH,Claude Hardy,Robert Sara,,,6030807,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
I9PE2Y,Astronomia Nova,1609,Heidelberg,LATIN,Johannes Kepler,"Vögelin, Gotthard",2,1,2119229,,,Astronomy,,,1,0,0,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
IC4Y79,De expetendis et fugiendis rerum opus,1501,Venice,LATIN,Giorgio Valla,"Aldo Manuzio, Giampietro Valla",2,1,861868,,,Arithmetic | Theoretical Mathematics,Architecture | Instrument Construction | Instrument Use,,2,3,0,secondary,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Ingolstadt_1617,Euclidis elementorum geometricorum libri sex priores,1617,Ingolstadt,LATIN,Johann Lanz,Angermayer,8,1,,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Innsbruck_1634,,1634,Innsbruck,LATIN,Andreas Arzet,,,,,,True,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
JT4H92,"The first booke of architecture, made by Sebastian Serly, entreating of geometrie. Translated out of Italian into Dutch, and out of Dutch into English.",1611,London,ENGLISH,Sebastiano Serlio,"Simon Stafford, Thomas Snodham, Robert Peake",2,1,3004814,,,Architecture,,Practical Geometry,1,0,1,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated
JTRIRS,"La pratica della perspettiua di monsignor Daniel Barbaro eletto patriarca d'Aquileia. Opera molto utile a pittori, a scultori, & ad architetti",1569,Venice,ITALIAN,Daniele Barbaro,"Rutilio Borgominieri, Camillo Borgominieri",2,1,812217,,True,Perspective,Architecture | Practical Geometry,,1,2,0,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unrelated
JTZKPV,"Pictoribus, fabris erariis ac lignariis quatuor his suarum institutionum geometricarum libris, lineas, superficies et solida corpora tractavit",1532,Paris,LATIN,"Albrecht Dürer, Joachim Camerarius",Chrestien Wechel,2,1,181404,,,Construction | Instrument Use | Practical Geometry,,,3,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
JXC181,La pratica della perspettiva,1569,Venice,ITALIAN,Daniele Barbaro,"Rutilio Borgominieri, Camillo Borgominieri",2,1,812223,,True,Perspective,Architecture | Practical Geometry,,1,2,0,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unrelated
JZ3MT9,"Ideae mathematicae pars prima, sive methodus polygonorum, qua laterum, perimetrorum & arearum cujuscunque polygoni investigandorum ratio exactissima & certissima; una cum circuli quadratura continentur",1593,Antwerp,LATIN,Adriaen von Roomen,Johannes Keerberg,4,1,413059,,False,Practical Geometry,Theoretical Mathematics,,1,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,secondary,unrelated
Jena_1628,,1628,Jena,GERMAN,Heinrich Hofmann,,,,,,True,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
K7DERJ,Geometria et perspectiva. Hier inn etliche zerbrochne gebew den schreinr in eingelegter arbait dienstlich auch vil andern liebhabern zu sondr gefallen geordnet unnd gestelt durch lorentz stöer maller burger inn Augspurg.,1567,Augsburg,GERMAN,Lorenz Stör,Hans Rogel,2,1,659349,,False,Perspective | Practical Geometry,Construction,,2,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated
KLSGAN,"Newe Geometrische und Perspectivische Inventiones Etlicher sonderbahrer Instrument, die zum Perspectivischen Grundreissen der Pasteyen unnd Vestungen, wie auch zum Planimetrischen Grundlegen der Stätt, Feldläger und Landtschafften, deßgleichen zur Büchsen",1610,Frankfurt,GERMAN,Johannes Faulhaber,"Wolfgang Richter, Anton Humm",4,1,2080606,,,Instrument Use | Military Engineering | Perspective | Practical Geometry | Surveying,Instrument Construction,,5,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,primary,unrelated,primary,unrelated,unrelated,primary,primary,primary,unrelated,unrelated
KVSFF1,Éléments de géométrie avec des notes,1799,Paris,FRENCH,Adrien-Marie Legendre,Firmin Didot,,1,,,,Theoretical Mathematics,Trigonometry,,1,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary
Kiel_Hamburg_and_Leipzig_1697,"Samuel Reyhers, Icti, Bey der Hoch-Fürstl. Holst. Universität Codic. und Mathematum Prof. In Teutscher Sprache vorgestellter Euclides, Dessen VI. erste Bücher auf sonderbahre Art, Mit Algebraischen Zeichen, also eingerichtet sind, daß man derselben Beweise auch in andern Sprachen gebrauchen kan",1697,"Hamburg, Leipzig",GERMAN,Samuel Reyher,,4,,2646026,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
Kiel_and_Leipzig_1699,,1699,"Kiel, Leipzig",GERMAN,Samuel Reyher,Joachim Reumann,4,1,-,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
L3XLGB,"La maniere de fere les solaires, que communement on appelle quadrans",1564,Poitiers,FRENCH,Elie Vinet,Enguilbert de Marnef,4,1,15346,,True,Gnomonics & Horology | Instrument Construction,Instrument Use | Practical Geometry,,2,2,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated
LQNZBJ,Deux livres l'un de la sphere qui est meue et l'autre du lever et coucher des estoilles ,1572,Paris,FRENCH,Pierre Forcadel,"Jérôme de Marnef, Guillaume Cavellat",4,1,21203,,False,Astronomy,Architecture,,1,1,0,secondary,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Lausanne_1683,"Les Élémens d'Euclide, expliquez d'une manière nouvelle …  par le P. Claude-François Milliet-Dechales",1683,Lausanne,FRENCH,Claude-François Milliet Dechales,David Gentil,12,1,6124211,,,,,,0,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
Le_Mans_1663,,1663,Le Mans,FRENCH,Roland Fréart,IACQVES YSAMBART,4,,,,,Perspective | Theoretical Mathematics,,,2,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,primary,unrelated
Leiden_1599,,1599,Leiden,LATIN,Jean de la Pène,,4,,,,,Perspective,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated
Leiden_1606,De ses eerste boucken Euclidis,1606,Leiden,DUTCH,Jan Pietersz Dou,Jan Bouwensz,4,1,,,,Theoretical Mathematics,Practical Geometry,,1,1,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,primary,unrelated
Leiden_1607,,1607,Leiden,DUTCH,Jan Pietersz Dou,Ian Iansz. Orlers,4,1,-,,,Practical Geometry,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated
Leiden_1615,,1615,Leiden,LATIN,Ludolph van Ceulen,,,,,,True,Arithmetic | Trigonometry,Theoretical Mathematics,,2,1,0,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,primary
Leiden_1617,,1617,Leiden,DUTCH,Frans van Schooten,Govert Basson,12,1,,,,Theoretical Mathematics,,,1,0,0,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated
