portfolio_category,portfolio_kind,name,total_representative_cases,metadata_elements_cases,non_elements_cases,elements_share_pct,cities,languages_first,formats,periods,elements_bookgroups,primary_subject_families,elements_keys,non_elements_keys,elements_only_claims,non_elements_only_claims,shared_claims,elements_only_social,non_elements_only_social,shared_social,claim_method_demonstration_order_elements_pct,claim_method_demonstration_order_non_elements_pct,claim_accessibility_clarity_pedagogy_elements_pct,claim_accessibility_clarity_pedagogy_non_elements_pct,claim_utility_practice_application_elements_pct,claim_utility_practice_application_non_elements_pct,claim_correction_revision_accuracy_elements_pct,claim_correction_revision_accuracy_non_elements_pct,claim_augmentation_enrichment_composition_elements_pct,claim_augmentation_enrichment_composition_non_elements_pct,claim_translation_vernacularization_transfer_elements_pct,claim_translation_vernacularization_transfer_non_elements_pct,claim_ancient_authority_restoration_elements_pct,claim_ancient_authority_restoration_non_elements_pct,claim_visual_material_aids_elements_pct,claim_visual_material_aids_non_elements_pct,claim_selection_extraction_abridgment_elements_pct,claim_selection_extraction_abridgment_non_elements_pct,pedagogical_school_arena_elements_pct,pedagogical_school_arena_non_elements_pct,court_state_service_arena_elements_pct,court_state_service_arena_non_elements_pct,military_fortification_arena_elements_pct,military_fortification_arena_non_elements_pct,professional_practical_arena_elements_pct,professional_practical_arena_non_elements_pct,religious_institutional_arena_elements_pct,religious_institutional_arena_non_elements_pct,learned_scholarly_arena_elements_pct,learned_scholarly_arena_non_elements_pct,general_public_lovers_arena_elements_pct,general_public_lovers_arena_non_elements_pct,patronage_prestige_arena_elements_pct,patronage_prestige_arena_non_elements_pct,no_visible_social_arena_elements_pct,no_visible_social_arena_non_elements_pct,sparse_canonical_identity_elements_pct,sparse_canonical_identity_non_elements_pct,procedural_pedagogical_identity_elements_pct,procedural_pedagogical_identity_non_elements_pct,composite_workshop_book_elements_pct,composite_workshop_book_non_elements_pct,utility_public_book_elements_pct,utility_public_book_non_elements_pct,humanist_transfer_book_elements_pct,humanist_transfer_book_non_elements_pct,method_access_book_elements_pct,method_access_book_non_elements_pct
bridge_portfolio,split_person,Jacques Peletier,5,2,3,40.0,Geneva | Lyon | Paris,FRENCH | LATIN,2 | 4,1550-1599 | 1600-1649,1-6 | 1–6,Arithmetic/Commerce | Geometry/Theory | No primary family,Geneva_1611 | Lyon_1557,bib-15 | bib-16 | bib-17,claim_ancient_authority_restoration; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_selection_extraction_abridgment; claim_translation_vernacularization_transfer,,claim_augmentation_enrichment_composition,religious_institutional_arena,learned_scholarly_arena; no_visible_social_arena,court_state_service_arena; patronage_prestige_arena,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0,33.3,50.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,33.3,0.0,0.0,0.0,0.0,50.0,0.0,0.0,33.3,0.0,0.0,100.0,33.3,0.0,66.7,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
bridge_portfolio,split_person,Niccolò Tartaglia,5,2,3,40.0,Paris | Venice,FRENCH | ITALIAN | LATIN,8,1550-1599 | 1600-1649,1-15,Arithmetic/Commerce | Geometry/Theory | No primary family,Venice_1565 | Venice_1569,bib-23 | ustc-31 | ustc-32,claim_ancient_authority_restoration,claim_utility_practice_application,claim_translation_vernacularization_transfer,learned_scholarly_arena; pedagogical_school_arena,court_state_service_arena; no_visible_social_arena; patronage_prestige_arena,,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,100.0,66.7,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,33.3,0.0,66.7,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
small_crossover,split_person,Pierre Hérigone,5,4,1,80.0,Paris,FRENCH | LATIN,8,1600-1649,1-15 | 1–6,Geometry/Theory | No primary family,Paris_1634 | Paris_1639 | Paris_1644 | Paris_1644b,MorisS-17-3,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,claim_visual_material_aids,claim_augmentation_enrichment_composition; claim_method_demonstration_order,learned_scholarly_arena,,no_visible_social_arena,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,50.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,50.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
elements_heavy_within_sample,split_person,Christoffer Dybvad,4,4,0,100.0,Arnhem | Lyon,LATIN,4,1600-1649,1-6 | 10 | 7-9,Arithmetic/Commerce | Geometry/Theory | No primary family,Arnhem_1603 | Arnhem_1605 | Arnhem_1605a | Lyon_1603,,claim_ancient_authority_restoration; claim_method_demonstration_order,,,court_state_service_arena; no_visible_social_arena; patronage_prestige_arena,,,75.0,,0.0,,0.0,,0.0,,0.0,,0.0,,75.0,,0.0,,0.0,,0.0,,25.0,,0.0,,0.0,,0.0,,0.0,,0.0,,25.0,,50.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
small_crossover,split_person,Gemma Frisius,4,1,3,25.0,Antwerp | Cologne | Paris,FRENCH | LATIN,4 | 8,1550-1599,,Arithmetic/Commerce | Cosmos/Earth,ZNLALU,TJONV6 | bib-255 | bib-262,,claim_augmentation_enrichment_composition; claim_visual_material_aids,claim_translation_vernacularization_transfer,,,no_visible_social_arena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,66.7,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
elements_heavy_within_sample,split_person,Jean de la Pène,4,4,0,100.0,Leiden | Paris,GREEK | LATIN,4,1550-1599 | 1600-1649,,Geometry/Theory | Music | Visual/Spatial Arts,Leiden_1599 | Paris_1557a | Paris_1557b | Paris_1604,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer,,,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena; religious_institutional_arena,,,0.0,,0.0,,0.0,,0.0,,75.0,,50.0,,100.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,100.0,,100.0,,0.0,,100.0,,0.0,,0.0,,25.0,,50.0,,0.0,,50.0,,0.0,
elements_heavy_within_sample,split_person,Pierre Le Mardelé,4,4,0,100.0,Lyon | Paris,FRENCH,8,1600-1649,1–15,Geometry/Theory | No primary family,Lyon_1645 | Lyon_1646 | Paris_1622 | Paris_1632a,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_translation_vernacularization_transfer; claim_visual_material_aids,,,patronage_prestige_arena; religious_institutional_arena,,,100.0,,0.0,,0.0,,100.0,,100.0,,100.0,,100.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,100.0,,0.0,,0.0,,100.0,,100.0,,0.0,,100.0,,0.0,
elements_heavy_within_sample,split_person,Antonio Possevino,3,3,0,100.0,Cologne | Rome | Venice,LATIN,2,1550-1599 | 1600-1649,,Geometry/Theory,Cologne_1607a | Rome_1593 | Venice_1603,,claim_augmentation_enrichment_composition; claim_correction_revision_accuracy,,,learned_scholarly_arena; religious_institutional_arena,,,0.0,,0.0,,0.0,,66.7,,66.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,33.3,,0.0,,0.0,,0.0,,0.0,,0.0,,66.7,,0.0,,0.0,,0.0,
small_crossover,split_person,Bernard Lamy,3,1,2,33.3,Paris,FRENCH,12 | 8,1650-1699,1-5,Geometry/Theory | No primary family,Paris_1685,Paris_1695 | bib-110,,,claim_ancient_authority_restoration; claim_method_demonstration_order,,,no_visible_social_arena,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elements_heavy_within_sample,split_person,Caterino Doino,3,3,0,100.0,Ferrara | Venice,LATIN,12 | 8,1600-1649,1–6,Geometry/Theory | No primary family,Ferrara_1628 | Venice_1641 | Venice_1647,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition,,,learned_scholarly_arena; no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,33.3,,0.0,,66.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,33.3,,0.0,,0.0,,66.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
elements_heavy_within_sample,split_person,Christoph Grienberger,3,3,0,100.0,Graz | Rome,LATIN,12,1600-1649 | 1650-1699,1-6 | 1–6,No primary family,Graz_1636 | Rome_1629 | Rome_1655,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_selection_extraction_abridgment,,,learned_scholarly_arena; religious_institutional_arena,,,0.0,,0.0,,0.0,,33.3,,100.0,,0.0,,100.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,100.0,,33.3,,0.0,,0.0,,0.0,,0.0,,100.0,,66.7,,0.0,,0.0,,0.0,
elements_heavy_within_sample,split_person,François de Foix-Candale,3,3,0,100.0,Cologne | Paris,LATIN,2,1550-1599 | 1600-1649,1-16 | 1-18 | 1–18,Geometry/Theory,Cologne_1602 | Paris_1566 | Paris_1578,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_method_demonstration_order; claim_selection_extraction_abridgment,,,no_visible_social_arena,,,33.3,,0.0,,0.0,,0.0,,100.0,,0.0,,100.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,
elements_heavy_within_sample,split_person,Gaspar Schott,3,3,0,100.0,Bamberg | Frankfurt | Würzburg,LATIN,2,1650-1699,1-6 | 1–6,Geometry/Theory | No primary family,Bamberg_1677 | Frankfurt_1674 | Würzburg_1661,,claim_augmentation_enrichment_composition; claim_method_demonstration_order,,,court_state_service_arena; learned_scholarly_arena; pedagogical_school_arena; religious_institutional_arena,,,100.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,66.7,,100.0,,0.0,,0.0,,100.0,,66.7,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,
elements_heavy_within_sample,split_person,Giorgio Valla,3,3,0,100.0,Venice,LATIN,2,pre-1550,14,Geometry/Theory | Geometry/Theory | Arithmetic/Commerce,IC4Y79 | Venice_1498 | Venice_1498a,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_method_demonstration_order; claim_selection_extraction_abridgment; claim_utility_practice_application,,,general_public_lovers_arena; learned_scholarly_arena; no_visible_social_arena,,,33.3,,0.0,,33.3,,0.0,,66.7,,0.0,,100.0,,0.0,,33.3,,0.0,,0.0,,0.0,,0.0,,0.0,,33.3,,33.3,,0.0,,66.7,,33.3,,33.3,,66.7,,0.0,,0.0,,0.0,
small_crossover,split_person,Giovanni Alfonso Borelli,3,1,2,33.3,Bologna | Rome,ITALIAN | LATIN,12,1650-1699,1-13,Geometry/Theory,Rome_1695,Bologna_1663 | Rome_1679,,claim_method_demonstration_order,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_augmentation_enrichment_composition,,learned_scholarly_arena; pedagogical_school_arena,no_visible_social_arena,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,100.0,100.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0
elements_heavy_within_sample,split_person,Giovanni Ricci,3,3,0,100.0,Bologna,ITALIAN,8,1650-1699,1-6 | 1–6,No primary family,Bologna_1651 | Bologna_1651a | Bologna_1686,,claim_ancient_authority_restoration; claim_translation_vernacularization_transfer,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,
small_crossover,split_person,Honorat de Meynier,3,2,1,66.7,Paris,FRENCH,12 | 4 | 8,1600-1649 | 1650-1699,"7-9, 1-3, 6, 13-14 | ?",Geometry/Theory | Geometry/Theory | Applied Mechanics/Military | No primary family,Paris_1624 | Paris_1652,Paris_1626,,claim_utility_practice_application,claim_ancient_authority_restoration; claim_method_demonstration_order; claim_selection_extraction_abridgment,,,learned_scholarly_arena,50.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small_crossover,split_person,Honoré Fabri,3,1,2,33.3,Lyon | Rome,LATIN,12,1600-1649 | 1650-1699,,Applied Mechanics/Military | Geometry/Theory,Lyon_1669,MorisS-10-1 | MorisS-10-3,,,,,learned_scholarly_arena; no_visible_social_arena,religious_institutional_arena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elements_heavy_within_sample,split_person,Jacob Willemsz,3,3,0,100.0,Amsterdam | Hamburg,DUTCH,4,1600-1649 | 1650-1699,1–6,Geometry/Theory,Amsterdam_1660 | Hamburg_1633 | Hamburg_1638,,claim_ancient_authority_restoration; claim_method_demonstration_order; claim_selection_extraction_abridgment; claim_translation_vernacularization_transfer,,,no_visible_social_arena,,,66.7,,0.0,,0.0,,0.0,,0.0,,33.3,,33.3,,0.0,,33.3,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,33.3,,0.0,,0.0,,33.3,,0.0,
small_crossover,split_person,Pierre Bourdín,3,1,2,33.3,Paris,FRENCH,12,1600-1649 | 1650-1699,?,Applied Mechanics/Military | Geometry/Theory | Instruments/Measurement | Applied Mechanics/Military | No primary family,Paris_1643,Paris_1661 | bib-37,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_method_demonstration_order; claim_selection_extraction_abridgment,claim_utility_practice_application,,,patronage_prestige_arena,no_visible_social_arena,100.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0,0.0
small_crossover,split_person,Albrecht Dürer,2,1,1,50.0,Nuremberg | Paris,GERMAN | LATIN,2,pre-1550,,Geometry/Theory | Geometry/Theory | Visual/Spatial Arts | Instruments/Measurement,JTZKPV,bib-8,claim_translation_vernacularization_transfer,claim_visual_material_aids,,,,no_visible_social_arena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elements_only_low_count,split_person,Ambrosius Rhode,2,2,0,100.0,Wittenberg,LATIN,8,1600-1649 | 1650-1699,1-13 | 1–13,Geometry/Theory,Wittenberg_1609 | Wittenberg_1661,,claim_ancient_authority_restoration; claim_correction_revision_accuracy; claim_method_demonstration_order,,,general_public_lovers_arena; learned_scholarly_arena; pedagogical_school_arena,,,100.0,,0.0,,0.0,,100.0,,0.0,,0.0,,100.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,
elements_only_low_count,split_person,Angelo Caiani,2,2,0,100.0,Rome,GREEK | LATIN,8,pre-1550,1-15,Geometry/Theory,Rome_1545 | Rome_1545a,,claim_ancient_authority_restoration; claim_translation_vernacularization_transfer,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,50.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,50.0,,0.0,
elements_only_low_count,split_person,Anton Ernst Burckhard von Pirckenstein,2,2,0,100.0,"Lübeck, Frankfurt | Vienna",GERMAN,4,1650-1699,"1–6, 11–12",Geometry/Theory,Lübeck_and_Frankfurt_1699 | Vienna_1694,,claim_ancient_authority_restoration,,,military_fortification_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
elements_only_low_count,split_person,Bartolomeo Zamberti,2,2,0,100.0,Basel | Venice,LATIN,2 | 4,pre-1550,1-15,Geometry/Theory | Geometry/Theory | Cosmos/Earth,GY5QLD | Venice_1505,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_translation_vernacularization_transfer,,,learned_scholarly_arena; no_visible_social_arena; professional_practical_arena,,,50.0,,0.0,,0.0,,50.0,,100.0,,100.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,50.0,,0.0,,50.0,,0.0,,0.0,,50.0,,0.0,,100.0,,100.0,,0.0,,100.0,,0.0,
elements_only_low_count,split_person,Charles Malapert de Mons,2,2,0,100.0,Douai,LATIN,12 | 8,1600-1649,1–6,No primary family,Douai_1620 | Douai_1625,,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_correction_revision_accuracy; claim_method_demonstration_order,,,religious_institutional_arena,,,100.0,,100.0,,0.0,,50.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,100.0,
elements_only_low_count,split_person,Christian Herlin,2,2,0,100.0,Basel | Strasbourg,GREEK | LATIN,2 | 4,1550-1599 | pre-1550,1-15 | 1-6,Geometry/Theory | No primary family,Basel_1537 | Strasbourg_1566,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,100.0,,50.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,50.0,,100.0,,0.0,,50.0,,0.0,
elements_only_low_count,split_person,Didier Dounot,2,2,0,100.0,Paris,FRENCH,4,1600-1649,1-15 | 1–15,Geometry/Theory,Paris_1609 | Paris_1610,,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_translation_vernacularization_transfer,,,court_state_service_arena; learned_scholarly_arena; pedagogical_school_arena,,,100.0,,100.0,,0.0,,50.0,,50.0,,100.0,,100.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,100.0,,50.0,,0.0,,100.0,,100.0,
elements_only_low_count,split_person,Elias Astorinus,2,2,0,100.0,Naples | Siena,LATIN,12 | 8,1650-1699 | 1700+,1–15,No primary family,Naples_1701 | Siena_1691,,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_selection_extraction_abridgment,,,court_state_service_arena; learned_scholarly_arena; no_visible_social_arena; pedagogical_school_arena,,,100.0,,50.0,,0.0,,50.0,,0.0,,0.0,,100.0,,0.0,,50.0,,50.0,,50.0,,0.0,,0.0,,0.0,,50.0,,0.0,,0.0,,50.0,,0.0,,50.0,,0.0,,0.0,,0.0,,50.0,
small_crossover,split_person,Erhard Ratdolt,2,1,1,50.0,Augsburg | Venice,LATIN,2 | 4,pre-1550,1-15,Arithmetic/Commerce | Geometry/Theory,Venice_1482,DDUZGF,claim_ancient_authority_restoration,,,,,no_visible_social_arena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elements_only_low_count,split_person,Francesco Maurolico,2,2,0,100.0,Messina | Venice,LATIN,2 | 4,1550-1599,13-15,Geometry/Theory | Geometry/Theory | Cosmos/Earth,Messina_1558 | Venice_1575,,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_selection_extraction_abridgment,,,no_visible_social_arena,,,50.0,,50.0,,0.0,,50.0,,50.0,,0.0,,50.0,,0.0,,50.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,50.0,,50.0,,0.0,,0.0,,50.0,
small_crossover,split_person,Geminiano Rondelli,2,1,1,50.0,Bologna,LATIN,,1650-1699 | 1700+,1-6,Geometry/Theory | No primary family,2L8L55,Bologna_1693,claim_augmentation_enrichment_composition,claim_accessibility_clarity_pedagogy; claim_method_demonstration_order,claim_ancient_authority_restoration,no_visible_social_arena,learned_scholarly_arena,,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
elements_only_low_count,split_person,Guiseppe Auria,2,2,0,100.0,Rome,LATIN,4,1550-1599 | 1600-1649,,Cosmos/Earth | Geometry/Theory | Cosmos/Earth,Rome_1591 | Rome_1609,,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_visual_material_aids,,,learned_scholarly_arena; patronage_prestige_arena,,,0.0,,100.0,,0.0,,0.0,,50.0,,100.0,,100.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,50.0,,0.0,,50.0,,0.0,,0.0,,100.0,,50.0,,0.0,,100.0,,0.0,
elements_only_low_count,split_person,Henrick Coets,2,2,0,100.0,Amsterdam | Leiden,DUTCH | LATIN,4 | 8,1650-1699 | 1700+,1–6,Geometry/Theory | No primary family,Amsterdam_1702 | Leiden_1692,,claim_ancient_authority_restoration; claim_method_demonstration_order; claim_selection_extraction_abridgment,,,no_visible_social_arena; pedagogical_school_arena,,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,50.0,,50.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,50.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,
elements_only_low_count,split_person,Jacques Rohault,2,2,0,100.0,Paris | The Hague,FRENCH,12 | 4,1650-1699,1-6 | 1–6,No primary family,Paris_1682a | The_Hague_1690,,,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
small_crossover,split_person,Jean Prestet,2,1,1,50.0,Paris,FRENCH,4,1650-1699,1-5,Geometry/Theory,Paris_1675,Paris_1689,,,,no_visible_social_arena,learned_scholarly_arena; pedagogical_school_arena,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elements_only_low_count,split_person,Joachim Kammermeister,2,2,0,100.0,Leipzig,LATIN,8,1550-1599 | pre-1550,1-6,Geometry/Theory | No primary family,Leipzig_1549 | Leipzig_1577,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_method_demonstration_order; claim_translation_vernacularization_transfer,,,learned_scholarly_arena; no_visible_social_arena,,,50.0,,0.0,,0.0,,0.0,,50.0,,100.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,50.0,,0.0,,0.0,,50.0,,0.0,,50.0,,50.0,,0.0,,100.0,,0.0,
elements_only_low_count,split_person,Johannes Scheubel,2,2,0,100.0,Augsburg | Basel,GERMAN | LATIN,2 | 4,1550-1599,1-6 | 7-9,Geometry/Theory | Geometry/Theory | Arithmetic/Commerce,Augsburg_1555 | Basel_1550,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_method_demonstration_order; claim_translation_vernacularization_transfer; claim_utility_practice_application,,,learned_scholarly_arena; no_visible_social_arena; pedagogical_school_arena,,,100.0,,0.0,,50.0,,0.0,,50.0,,50.0,,100.0,,0.0,,0.0,,50.0,,0.0,,0.0,,0.0,,0.0,,50.0,,0.0,,0.0,,50.0,,0.0,,100.0,,50.0,,50.0,,50.0,,0.0,
small_crossover,split_person,John Dee,2,1,1,50.0,London | Pesaro,ENGLISH | LATIN,2,1550-1599,1-16,Geometry/Theory | No primary family,London_1570,bib-42,claim_ancient_authority_restoration; claim_translation_vernacularization_transfer,,,,,no_visible_social_arena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
