classification_key,year,city,language,primary_classes,secondary_classes,neighbor_score,euclid_or_elements,rich_claim_text_raw,rich_social_text_raw
bib-135,1667,Nuremberg,GERMAN,Practical Geometry | Surveying,Instrument Use,6,False,"gegeben | vermehrt | Allen Professionen, und insonderheit der Geometriæ Liebhabern | GEOMETRIÆ PRACTICÆ NOVÆ ET AUCTÆ LIBRI IV | Im I. Aus rechtem Fundament gewiesen wird; wie man in der Geometria, auf dem Papyr und Lande, mit denen dazu gehörigen Instrumenten, ja zur Noth ohne die- selben, verfahren und practicien solle | Im II. Wie ohne einig künstlich Geometrisch Instrument, allein mit der Meßruthe und etlichen Stäben, das Land zu messen | Im III. Die Beschreibung deß nützlichen Geometrischen Tisch- leins M. Johannis Pratorii | Im IV. Die Erfindung Camillæ Ravertræ, aus einem Stand das Land zu messen | Architect, & Ingenieur | M. Johannis Pratorii | Camillæ Ravertræ | mit vielen nütz- lichen Additionen und neuen Figuren","Allen Professionen, und insonderheit der Geometriæ Liebhabern | Architect, & Ingenieur | M. Johannis Pratorii | Camillæ Ravertræ"
EJGRZN,1671,Paris,FRENCH,Theoretical Mathematics,,6,True,ELEMENS DE GEOMETRIE | OU PAR UNE METHODE COURTE & aisée l’on peut apprendre ce qu’il faut sçavoir | le P | d’Euclide | d’Archimede | Euclide | Archimede | Ap- pollonius | ELEMENS DE GEOMETRIE | d’Euclide,Compagnie de JESUS | le P | d’Euclide | d’Archimede | Euclide | Archimede | Ap- pollonius
Florence_1674,1674,Florence,ITALIAN,Theoretical Mathematics,,6,True,"difesa | pubblicata | spiegata | QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE | SCIENZA VNIVERSALE DELLE PROPORZIONI SPIEGATA COLLA DOTTRINA DEL GALILEO | Con nuovo ordine difesa, e per la prima volta pubblicata | ultimo suo Discepolo | GALILEO | TORRICELLI | QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE | cose varie | I Ragguali | del TORRICELLI | I Ragguali | Aggiuntivi cose varie, e del GALILEO, e del TORRICELLI; I Ragguali dell’ultime Opere loro, con altro, che dall’Indice si manifesta | TORRICELLI | I Ragguali | GALILEO | D’EVCLIDE",ultimo suo Discepolo | PRINCIPE CARDINALE DE’ MEDICI | GALILEO | TORRICELLI
bib-145,1678,Madrid,SPANISH,Practical Geometry | Theoretical Mathematics,,6,True,"EVCLIDES NVEVO-ANTIGVO | GEOMETRIA ESPECVLATIVA, Y PRACTICA DE LOS PLANOS, Y SOLIDOS | de la Compañía de Iesvs, Calificador de la Su- prema Inquisicion, Cathedratico de Theologia Escolástica en los Colegios de Mallorca, Barce- lona, y Valencia; y de Mathematica en el Impe- rial de Madrid: de la Real Junta de Minas, y Maestro de Mathematicas de su Mag. Carlos II | EVCLIDES NVEVO-ANTIGVO | EVCLIDES","de la Compañía de Iesvs | los Colegios de Mallorca, Barce- lona, y Valencia | el Imperial de Madrid | de la Real Junta de Minas | de la Compañía de Iesvs, Calificador de la Su- prema Inquisicion, Cathedratico de Theologia Escolástica en los Colegios de Mallorca, Barce- lona, y Valencia; y de Mathematica en el Impe- rial de Madrid: de la Real Junta de Minas, y Maestro de Mathematicas de su Mag. Carlos II | AL EXCmo. SEÑOR D. GREGORIO de Silva, &c. Principe de Melito, Duque del Infantado, y Pastrana, &c"
bib-143,1690,Rome,LATIN,,,6,True,"additis | Rerum omnium ad universam planè Mathesim quocunque modo, directè, vel indirectè spectantium | Tyronum | Continens Terminum, praesertim exoticorum, dilucidationem, Nominis rationem, atque Etymologiam, Principia, Praecepta communia, Axiomata, &c. ac brevem, & exactam Doctrinae traditionem | additis, ubi opus est, schematibus","Rerum omnium ad universam planè Mathesim quocunque modo, directè, vel indirectè spectantium | Tyronum"
bib-125,1691,Rome,ITALIAN,Practical Geometry,,6,True,Cauata da | Ridotta | à Misuratori | ad Architetti | à Geografi | à Cosmografi | à Bombardieri | à Ingegneri | à Soldati | à Capitani d’Eserciti | gl’elementi d’Euclide | Ridotta in cinquanta Tavole | Matematico | gl’elementi d’Euclide | l’espositione | cinquanta Tavole | Euclide,à Misuratori | ad Architetti | à Geografi | à Cosmografi | à Bombardieri | à Ingegneri | à Soldati | à Capitani d’Eserciti | Matematico | IL SIG CARDINALE IACOMO NINI
Bologna_1693,1693,Bologna,LATIN,,,6,True,"explicata | PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA | Facilioribus Auctorum demonstrationibus | PHILOSOPHIÆ DOCT | PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA | Facilioribus Auctorum demonstrationibus | EVCLIDIS",Vniuersali Studio Bononiæ Scientiarum | SENATUS BONONIEN | PHILOSOPHIÆ DOCT
bib-216,1694,London,ENGLISH,,Arithmetic | Commercial Mathematics,6,True,"added | Children and Youth | Men of all Degrees, and Qualities | School-master at St. Georges Church in Southwark | An Appendix containing the Principles of Arith- metick; with an Account of Coins, Weights, Measure, Time, &c | THE ENGLISH","Children and Youth | Men of all Degrees, and Qualities | St. Georges Church in Southwark | Universities | City of London | School-master at St. Georges Church in Southwark"
Paris_1695,1695,Paris,FRENCH,Theoretical Mathematics,,6,True,"Les Élémens d'Euclide | de géométrie ou de la mesure du corps | Les Élémens d'Euclide | les plus belles propositions d'Archimède touchant le cercle, la sphère, le cylindre et le cône | l'analise | les plus belles propositions d'Archimède touchant le cercle, la sphère, le cylindre et le cône | l'analise | les plus belles propositions d'Archimède | Euclide",
bib-279,1696,London,ENGLISH,Arithmetic,Astronomy | Practical Geometry | Theoretical Mathematics,6,True,"Surveighed and Reviewed | ARITHMETICK | Wherein the Nature of Numbers absolutely abstract, generally and specially contract, with their Simple and Comparative Elements, are plainly declared, and fully handled | Surveighed and Reviewed | Senior | together with divers Etymologies, Symboles, Characters, and Abbreviations for Artificial Termes, Words, Names, and Denominations | Illustrated by sundry Tables, Diagrams, and very many Examples",Senior
bib-190,1701,London,ENGLISH,Arithmetic | Commercial Mathematics,Astronomy | Theoretical Mathematics,6,True,"added | Explain’d | Declared | Handled | Illustrated | digested | delivered | Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES | Body of Arithmetick | WHEREIN THE  Whole Nature of NUMBERS, with their Simple and Comparative  Elements in all the Parts of ARITHMETICK, are plainly Declared,  and fully Handled | Merchant | Excellent RULES of PRACTICE | Many Large and Exact TABLES of all Sorts of Coins, Weights,  Measures, &c. Ancient and Modern, in most Countries, reduced to our own | divers Etymologies, Symbols, Characters,  and Abbreviations for Artificial Terms, Words, Names,  and Denominations | Illustrated by sundry Tables, Diagrams, and very  many Examples","Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES | Merchant"
bib-169,1552,Paris,FRENCH,Astronomy | Cosmography | Geography,Cartography,5,True,"composée | divisée | comprenant | touchant | L’SPHERE DU MON- DE | PROPREMENT DITTE COS- mographie, composée nouvellement en françois, & divisée en cinq livres, comprenant la première partie de l’astronomie, & les principes universels de la géographie & hydrographie | NATIF DU Daulphiné | lecteur Mathematicien du tres-chrestien Roy de France en l’université de Paris | Avec une épistre, touchant la dignité, perfection & utilité des sciences mathematiques | en françois",l’université de Paris | NATIF DU Daulphiné | lecteur Mathematicien du tres-chrestien Roy de France en l’université de Paris
bib-82,1554,Lyon,LATIN,Practical Geometry,Commercial Mathematics | Construction | Instrument Use | Mechanics | Military Engineering | Theoretical Mathematics,5,False,"De arca Noe, cuius formæ, capacitatisq; fuerit | De sublicio ponte Caesaris | Confutatio quadraturæ circuli ab Orontio Finæo factæ | Ad locum Quintiliani geometricum explanatio | Ad problema cubi duplicandi | Emendatio figurationis organi a Columella descripti | De libra & statera | De fluentis aquæ mensura | De precio margaritarum | De fluviaticis Insulis secundum Ius civile diuidendis. vbi confutatur Tyberias Bartoli | De diuisione fructus arboris in confinio natæ | Geometriæ cognitionem Iureconsulto necessariam | Ad legem Papiniani, Divortio | Ad legem Iuliani, Sitta scriptum | Ad legem Aphricani, Qui quadringerta | De arca Noe | De sublicio ponte Caesaris | Confutatio quadraturæ circuli | Ad locum Quintiliani geometricum | Ad problema cubi duplicandi | Emendatio figurationis organi | De libra & statera | De fluentis aquæ mensura | De precio margaritarum | De fluviaticis Insulis | De diuisione fructus arboris | Geometriæ cognitionem | Ad legem Papiniani | Ad legem Iuliani | Ad legem Aphricani",
