classification_key,year,city,language,primary_classes,secondary_classes,euclid_elements_dominant_mode,base_content,elements_designation,references_to_euclid,rich_claim_text_raw,rich_social_text_raw
Strasbourg_1566,1566,Strasbourg,"GREEK, LATIN",,Theoretical Mathematics,euclid_composite_workshop,sex librorum Euclidis,sex librorum Euclidis,Euclidis,"FACTAE | PRO SCHOLA ARGENTINENSI | sex librorum Euclidis | ANALYSEIS GEOmetricæ | PRIMI ET QVINTI FACTAE À CHRISTIANO HERLINO | sex librorum Euclidis | CVM COMmentariis, & Scholiis perbreuibus in eosdem sex libros Geometricos | CVM Indice Πορισ[lάτων καl λη[l[lάτων | Euclidis",PRO SCHOLA ARGENTINENSI | SCHOLA ARGENTINENSI
Venice_1569,1569,Venice,LATIN,,Mechanics,euclid_humanist_transfer,,,EVCLIDE,"RASSETTATO | ridotto | OGNO MEDIOCRE ingegno | DILIGENTEMENTE RASSETTATO, ET ALLA integrità ridotto | SECONDO LE DVE TRADOTTIONI | degno professore di tal Scientie | VNA AMPLA ESPO- SITIONE | nuouo aggiunta | MEGARENSE ACVTISSIMO PHILOSOPHO | EVCLIDE",OGNO MEDIOCRE ingegno | degno professore di tal Scientie | Nicolò Tartalea Brisciano
London_1570,1570,London,ENGLISH,,Mechanics,euclid_humanist_transfer,THE ELEMENTS OF GEOMETRIE,THE ELEMENTS OF GEOMETRIE,EVCLIDE,translated | annexed | made | THE ELEMENTS OF GEOMETRIE | now first | Citizen of London | M. I. Dee | THE ELEMENTS OF GEOMETRIE | certaine Scholies | Annotations | Inuentions | a very fruitfull Præface | certaine Scholies | Annotations | Inuentions | Scholies | Annotations | Inuentions | the most auncient Philosopher | Englishe | EVCLIDE,Citizen of London | M. I. Dee
Paris_1573,1573,Paris,LATIN,,,euclid_composite_workshop,EVCLIDIS ELEMENTORVM  LIBRI XV,EVCLIDIS ELEMENTORVM  LIBRI XV,EVCLIDIS | Εὐκλείδης,"EVCLIDIS ELEMENTORVM  LIBRI XV | Quibus, cùm ad omnem Mathematicae scientiæ partem, tùm ad quamlibet Geometriæ tractatio- nem, facilis comparatur aditus | GRAE- cè & Latinè | EVCLIDIS ELEMENTORVM  LIBRI XV | Ἐπίγραμμα παλαιόν | Σχήματα πέντε Πλάτωνος, ὁ Πυθαγόρας σοφὸς εὗρε | Πυθαγόρας σοφὸς εὗρε, Πλάτων δ’ ἀρίδηλ’ ἐδί- δαξεν | Εὐκλείδης ἐπὶ τοῖσι κλέος σοφιηκαλλὲς ἔτευξεν | Εὐκλείδης ἐπὶ τοῖσι κλέος σοφιηκαλλὲς | Εὐκλείδης ἐπὶ τοῖσι κλέος σοφιηκαλλὲς ἔτευξεν | GRAE- cè | Latinè | GRAE- cè | Latinè | EVCLIDIS | Εὐκλείδης",
Cologne_1580,1580,Cologne,LATIN,,,euclid_procedural_pedagogical,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS,"EVCLIDIS ELEMENTORVM LIBRI XV | Quibus, cùm ad omnem Mathematicæ scientiæ partem, tùm ad quamlibet Geometriæ tractationem, facilis comparatur aditus | EVCLIDIS ELEMENTORVM LIBRI XV | EVCLIDIS",
5V691B,1583,Basel,LATIN,,Theoretical Mathematics,euclid_composite_workshop,in Euclidis & Rami ἐννέαϐι- ϐλια,in Euclidis & Rami ἐννέαϐι- ϐλια,Euclidis,illustratur | demonstratur | in Euclidis & Rami ἐννέαϐι- ϐλια | in quibus Logica veterum Mathematicorum illustratur & demonstratur | in Euclidis & Rami ἐννέαϐι- ϐλια | Euclidis,
Rome_1594,1594,Rome,"ARABIC, LATIN",,,euclid_sparse_canonical,EVCLIDIS ELEMENTORVM GEOMETRICORVM Libri Tre-decim,EVCLIDIS ELEMENTORVM GEOMETRICORVM,إقليدس | EVCLIDIS,تحرير | impressi | EVCLIDIS ELEMENTORVM GEOMETRICORVM Libri Tre-decim | Nunc primum Arabicè impressi | DOCTISSIMI NASIRIDINI TVSINI | EVCLIDIS ELEMENTORVM GEOMETRICORVM | Arabicè | إقليدس | EVCLIDIS,DOCTISSIMI NASIRIDINI TVSINI
Paris_1598a,1598,Paris,FRENCH,,,euclid_composite_workshop,LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE,D’EVCLIDE,TRADVICTS | commentez | Dediez | LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE | Ingenieur du Tres -chrestien ROY de France & de Nauarre | LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE | TRADVICTS | commentez | D’EVCLIDE,Ingenieur du Tres -chrestien ROY de France & de Nauarre | sa MAIESTÉ
Cologne_1600,1600,Cologne,LATIN,,,euclid_procedural_pedagogical,EVCLIDIS ELEMENTORVM LIBRI XV. QVIBVS,EVCLIDIS ELEMENTORVM LIBRI XV. QVIBVS,EVCLIDIS,"EVCLIDIS ELEMENTORVM LIBRI XV. QVIBVS | CVM AD OMNEM MATHEMATICAE SCIENTIAE PARTEM, TVM AD QVAMLIbet Geometriæ tractationem facilis comparatur aditus | EVCLIDIS ELEMENTORVM LIBRI XV. QVIBVS | EVCLIDIS",
Lyon_1603,1603,Lyon,LATIN,,,euclid_no_primary_subject,GEOMETRIAM EVCLIDIS prioribus sex Elementorum,GEOMETRIAM EVCLIDIS prioribus sex Elementorum,GEOMETRIAM EVCLIDIS,GEOMETRIAM EVCLIDIS prioribus sex Elementorum | libris comprehensam Demonstratio Numeralis | GEOMETRIAM EVCLIDIS prioribus sex Elementorum | GEOMETRIAM EVCLIDIS,Cancellarium Regium | CHRISTIANVM FRIIS
Beijing_1607,1607,Beijing,CHINESE,,,euclid_no_primary_subject,幾何原本,幾何原本,,幾何原本 | 幾何原本,
Geneva_1611,1611,Geneva,FRENCH,,,euclid_composite_workshop,LES SIX PREMIERS LIVRES DES ELEMENTS GEOME- TRIQVES D’EVCLIDE | LES SIX PREMIERS LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENTS GEOME- TRIQVES D’EVCLIDE | LES SIX PREMIERS LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,EVCLIDE,Traduicts | dediés | LES SIX PREMIERS LIVRES DES ELEMENTS GEOME- TRIQVES D’EVCLIDE | LES SIX PREMIERS LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | du Mans | LES SIX PREMIERS LIVRES DES ELEMENTS GEOME- TRIQVES D’EVCLIDE | LES SIX PREMIERS LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | AVEC LES DEMONSTRA- tions | LES DEMONSTRATIONS DE IACQVES PELETIER du Mans | LES DEMONSTRATIONS DE IACQVES PELETIER | françois | EVCLIDE,du Mans | Noblesse françoise
Ingolstadt_1617,1617,Ingolstadt,LATIN,,,euclid_no_primary_subject,"EVCLIDIS ELEMENTORVM GEOMETRICORVM, LIBRI SEX PRIORES | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX PRIORES","EVCLIDIS ELEMENTORVM GEOMETRICORVM, LIBRI SEX PRIORES | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX PRIORES",EVCLIDIS,"dati | impressi | dicati | in lucem dati | studiosæ iuuentutis | EVCLIDIS ELEMENTORVM GEOMETRICORVM, LIBRI SEX PRIORES | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX PRIORES | Et nunc recens impressi | Noua interpretatione | SOCIETATIS IESV | EVCLIDIS ELEMENTORVM GEOMETRICORVM, LIBRI SEX PRIORES | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX PRIORES | EVCLIDIS",studiosæ iuuentutis | ACADEMIAE | SOCIETATIS IESV | SOCIETATIS IESV | NOBILISSIMIS ACADEMIAE A PORTV ARDENTIBVS | IOANNE LANZ
Amsterdam_1618,1618,Amsterdam,GERMAN,,Practical Geometry,euclid_procedural_pedagogical,Die sechs ersten Bücher EVCLIDIS,Die sechs ersten Bücher EVCLIDIS,EVCLIDIS,"angefüget | verteutscht | Die sechs ersten Bücher EVCLIDIS | Von den anfängen vnd fundamenten der Geometriæ | Niderlandischen andern Edition | H. Ioann Petersz Dou | Die sechs ersten Bücher EVCLIDIS | angefüget seind: sampt den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen | Per Demonstra-tiones Lineales | Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici | Niderlandischen | Griechischen | EVCLIDIS",Teütschen Schuln in Nurnberg | H. Ioann Petersz Dou
Douai_1620,1620,Douai,LATIN,,,euclid_method_access,EVCLIDIS ELEMENTORVM LIBRI SEX PRIORES,EVCLIDIS ELEMENTORVM LIBRI SEX PRIORES,EVCLIDIS,"accommodauit | EVCLIDIS ELEMENTORVM LIBRI SEX PRIORES | Quorum demonstrationes tum alibi sparsim, tum maximè libro quinto ad facil-iorem captum | Montensis è Societate IESV | EVCLIDIS ELEMENTORVM LIBRI SEX PRIORES | Quorum demonstrationes tum alibi sparsim, tum maximè libro quinto ad facil-iorem captum | EVCLIDIS",Societate IESV | Montensis è Societate IESV
London_1620,1620,London,"GREEK, LATIN",,,euclid_humanist_transfer,ELEMENTORVM EVCLIDIS LIBRI TREDECIM,ELEMENTORVM EVCLIDIS LIBRI TREDECIM | ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ἕγ,ΕΥΚΛΕΙΔΟΥ | EVCLIDIS,restituti | ELEMENTORVM EVCLIDIS LIBRI TREDECIM | SECVNDVM VETERA exemplaria restituti | ELEMENTORVM EVCLIDIS LIBRI TREDECIM | ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ἕγ | LATINA | ΕΥΚΛΕΙΔΟΥ | EVCLIDIS,
Paris_1622,1622,Paris,"FRENCH, LATIN",,,euclid_composite_workshop,LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,D’EVCLIDE,"Traduicts | augmentez | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | Traduicts de Grec en François, et augmentez de plusieurs figures et demonstrations, auec la correction des erreurs commises es autres traductions | Professeur es Mathematiques | QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | plusieurs figures et demonstrations | la correction des erreurs commises es autres traductions | Grec | François | D’EVCLIDE",Professeur es Mathematiques | MONSEIGNEVR L’illustrissime & Reuerendissime Cardinal de la ROCHEFOVCAVLT
Paris_1624,1624,Paris,FRENCH,,Military Engineering,euclid_procedural_pedagogical,,,d’Euclides,"ceux qui se veulent seruir proprement des Ma- thematiques, & de la Philosophie | d’Euclides | d’Archimedes | de Proclus | de Sacrobosco | d’Aristote | Ensemble les Definitions Theoremes & Maximes, d’Euclides, d’Archime- des, de Proclus, de Sacrobosco, & d’Aristote | Auec un abregé des reigles de la Geometrie, & des principales Ma- ximes & regles des Arts, de for- tifier & assaillir les places | Ensemble les Definitions Theoremes & Maximes, d’Euclides, d’Archime- des, de Proclus, de Sacrobosco, & d’Aristote | d’Euclides | d’Archimedes | de Proclus | de Sacrobosco | d’Aristote | d’Euclides","ceux qui se veulent seruir proprement des Ma- thematiques, & de la Philosophie | d’Euclides | d’Archimedes | de Proclus | de Sacrobosco | d’Aristote"
Douai_1625,1625,Douai,LATIN,,,euclid_method_access,Euclidis ELEMENTORVM LIBRI SEX PRIORES,Euclidis ELEMENTORVM LIBRI SEX PRIORES,Euclidis,"accommodauit | Euclidis ELEMENTORVM LIBRI SEX PRIORES | Quorum demonstrationes tum alibi sparsim, tum maximè libro quinto ad facil-iorem captum | demonstrationes tum alibi sparsim, tum maximè libro quinto ad facil-iorem captum | Editio altera emendatior | Montensis è Societate IESV | Euclidis ELEMENTORVM LIBRI SEX PRIORES | demonstrationes | Euclidis",Societate IESV | Montensis è Societate IESV
Amsterdam_1626,1626,Amsterdam,DUTCH,,Practical Geometry,euclid_composite_workshop,De ses eerste Boecken EVCLIDIS,De ses eerste Boecken EVCLIDIS,EVCLIDIS,"ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert | vermeerdert | alle leergierighe liefhebbers der selver vryer Conste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus over-sien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boecken EVCLIDIS | Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen | Mitsgaders de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur | EVCLIDIS",alle leergierighe liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer
D40ZCO,1628,Jena,GERMAN,,,euclid_no_primary_subject,Teutscher Euclides,Euclides,Euclides,Teutscher Euclides | Das ist seiner Geometriæ Erster Theil/ Von derselben Elementen | Hofmanni Professoris Mathematici in der Universitet Jehna | Euclides | Teutscher Euclides | Euclides,Universitet Jehna | Hofmanni Professoris Mathematici in der Universitet Jehna
Ferrara_1628,1628,Ferrara,LATIN,,,euclid_no_primary_subject,EVCLIDIS ELEMENTORVM Libri VI,EVCLIDIS ELEMENTORVM Libri VI,EVCLIDIS,Ad PerIllm. et Eccum | EVCLIDIS ELEMENTORVM Libri VI | EVCLIDIS ELEMENTORVM Libri VI | EVCLIDIS,Ad PerIllm. et Eccum | D.D. Ioannem Libiolam Philosophu¯ . ac Medicum. insignum
Bologna_1629a,1629,Bologna,LATIN,,,euclid_procedural_pedagogical,SPECVLVM EVCLIDIANVM,SPECVLVM EVCLIDIANVM,EVCLIDIANVM | Euclidis,"repraesentans | enodans | Illustrissimos, & Sapientissimos SENATVS BONONIENSIS Quinquaginta Viros | SPECVLVM EVCLIDIANVM | Totam Euclidis Planimetriam, Quæ absoluta dicitur; & Extranea nonnulla, Geometrica tamen, internotata unico in Schemaste lineariter repraesentans, Omniaque propriis, firmisque Demonstrationibus clarè, atq; particulatim enodans | Philosophiæ & Medicinæ Doctore Collegiatò Bonon. & publico Patriæ Archigymnasij Professore | SPECVLVM EVCLIDIANVM | EVCLIDIANVM | Euclidis","Illustrissimos, & Sapientissimos SENATVS BONONIENSIS Quinquaginta Viros | Collegiatò Bonon | Patriæ Archigymnasij | SENATVS BONONIENSIS | Philosophiæ & Medicinæ Doctore Collegiatò Bonon. & publico Patriæ Archigymnasij Professore | SENATVS BONONIENSIS Quinquaginta Viros"
Paris_1629,1629,Paris,FRENCH,,,euclid_procedural_pedagogical,LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE,LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE,D’EVCLIDE,TRADVITS | commentez | Reueuz | corrigez | LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE | Reueuz & corrigez par l’Autheur | Ingenieur du Tres- Chrestien Roy de France & de Nauarre | LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE | D’EVCLIDE,Ingenieur du Tres- Chrestien Roy de France & de Nauarre | sa MAIESTE
Rome_1629,1629,Rome,LATIN,,,euclid_procedural_pedagogical,EVCLIDIS Sex primi ELEMENTORVM GEOMETRICORVM,EVCLIDIS Sex primi ELEMENTORVM GEOMETRICORVM,EVCLIDIS,contracti | EVCLIDIS Sex primi ELEMENTORVM GEOMETRICORVM | Ex maioribus CLAVII Commentariis in commodiorem formam contracti | RERVMQ. MATHEMATI-CARVM | CLAVII | EVCLIDIS Sex primi ELEMENTORVM GEOMETRICORVM | EVCLIDIS,Societate IESV | RERVMQ. MATHEMATI-CARVM | CLAVII
Paris_1630,1630,Paris,FRENCH,,,euclid_humanist_transfer,LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE,D’EVCLIDE,Extraicts | tirez | Traduits | LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE | Extraicts & tirez de ses Oeuures Mathematiques | Mathematicien | LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE | Latin | François | D’EVCLIDE,Mathematicien
Paris_1632a,1632,Paris,FRENCH,,,euclid_composite_workshop,LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,D’EVCLIDE,Traduicts | augmentez | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | seconde edition | Professeur es Mathematiques | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | plusieurs figures et demonstrations | la correction des erreurs commises es autres traductions | Grec | François | D’EVCLIDE,Professeur es Mathematiques | MONSEIGNEVR L’illustrissime & Reuerendissime Cardinal de Lÿon
Innsbruck_1634,1634,Innsbruck,LATIN,,,euclid_method_access,EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS,EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS,EUCLIDIS,APERITUR | Accommodavit | SELEGIT | Accommodavit | ADITUS | APERITUR | PER VISITATORES | EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS | ET FACILIOREM AD CAPTUM | ET FACILIOREM AD CAPTVM | S. I | EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS | DEMONSTRATIONES | EUCLIDIS,PER VISITATORES | S. I | S. I
Graz_1636,1636,Graz,LATIN,,Trigonometry,euclid_composite_workshop,EVCLIDIS SEX PRIMI ELEMENTORUM GEOMETRICO- RUM LIBRI CUM PARTE UNDECIMI,EVCLIDIS SEX PRIMI ELEMENTORUM GEOMETRICORUM LIBRI CUM PARTE UNDECIMI,EVCLIDIS,"contracti | Accessit | EVCLIDIS SEX PRIMI ELEMENTORUM GEOMETRICO- RUM LIBRI CUM PARTE UNDECIMI | Ex majoribus Clavij com-mentarijs in commodiorem formam contracti | è SOCIETATE JESU | HONORATVM DVRANDVM EIVSDEM SOCIETATIS | EVCLIDIS SEX PRIMI ELEMENTORUM GEOMETRICORUM LIBRI CUM PARTE UNDECIMI | ferme ex Clavio BREVIS TRIGNONOMEtria planorum, cum Tabulis Sinuum, Tangentium, & Secantium, ad partes Radij 100000 per sex prima scrupula graduum | BREVIS TRIGNONOMEtria | EVCLIDIS",SOC IETATE JESU | EIVSDEM SOCIETATIS | è SOCIETATE JESU | HONORATVM DVRANDVM EIVSDEM SOCIETATIS
Alcala_1637,1637,Alcala,"DUTCH, LATIN",,,euclid_humanist_transfer,ELEMENTOS GEOMETRICOS DE EVCLIDES,ELEMENTOS GEOMETRICOS DE EVCLIDES,EVCLIDES,Traducido | comentado | ELEMENTOS GEOMETRICOS DE EVCLIDES | PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS | Mathematico de su Magestad | ELEMENTOS GEOMETRICOS DE EVCLIDES | EVCLIDES,Mathematico de su Magestad | AL EXmo Sr D. GASPAR DE GVZMAN CONDE DE OLIBARES DVCq DE S. LVCAR LA MAYOR CAMARERO Y CABALLERICO MAYOR DE SV MAG
Paris_1639,1639,Paris,FRENCH,,,euclid_composite_workshop,LES SIX PREMIERS LIVRES DES ELEMENTS D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENTS D’EVCLIDE,D’EVCLIDE,"Demonstrez | LES SIX PREMIERS LIVRES DES ELEMENTS D’EVCLIDE | Demonstrez par Notes, d’vne methode tres-brieve & intelligible | Auec les principales parties des Mathematiques ex- pliquées succinctement sans Notes | Professeur és Mathematiques | LES SIX PREMIERS LIVRES DES ELEMENTS D’EVCLIDE | Notes | vn petit Dictionnaire, contenant les ety- mologies & significations des noms & termes plus obscurs des Mathematiques | Dictionnaire | D’EVCLIDE",Professeur és Mathematiques
Paris_1643,1643,Paris,FRENCH,,,euclid_method_access,Elémens d’Euclide,Elémens d’Euclide,Euclide,"tiré | rengez | demonstrez | ceux qui commencent d’apprendre les Mathematiques | Elémens d’Euclide | d’une façon plus briefue, & plus facile que l’ordinaire | P | Elémens d’Euclide | Euclide",ceux qui commencent d’apprendre les Mathematiques | Compagnie de IESVS | P
Paris_1643b,1643,Paris,LATIN,,,euclid_procedural_pedagogical,EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM LIBRI,EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM LIBRI,EVCLIDIS,contracti | demonstrati | EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM LIBRI | In commodiorem formam contracti & demonstrati | è societate IESV | EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM LIBRI | EVCLIDIS,IESV | societate IESV | è societate IESV
Rotterdam_1647,1647,Rotterdam,DUTCH,,Practical Geometry,euclid_composite_workshop,De ses eerste Boecken EUCLIDIS,De ses eerste Boecken EUCLIDIS,EUCLIDIS,"bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | breeder verklaert | bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | alle leergierige liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fonda-menten der Geometrie | Waer bygevoeght zijn eenige nuttigheden | Van nieus oversien ende verbetert | der stadt Leyden Lant-meter ende Wijnroyer | De ses eerste Boecken EUCLIDIS | eenige nuttigheden, uyt de selve Boecken getrocken | de Specien in Geometrische figuren, als ’tmaken, veranderen, t’samenvoegen, aftrecken, ver-menigvuldigen ende deelen | de bygevoegde nuttigheden, met de specien in Geometrische figuren | eenige nuttigheden, uyt de selve Boecken getrocken | Specien in Geometrische figuren | bygevoegde nuttigheden, met de specien in Geometrische figuren | EUCLIDIS",alle leergierige liefhebbers der selver vrye Konste | der stadt Leyden Lant-meter ende Wijnroyer
Rouen_1649,1649,Rouen,FRENCH,,,euclid_humanist_transfer,LES QVINZE LIVRES DES ELEMENTS D’EVCLIDE,LES QVINZE LIVRES DES ELEMENTS D’EVCLIDE,EVCLIDE,"Traduicts | Reueuë | corrigée | augmentée | LES QVINZE LIVRES DES ELEMENTS D’EVCLIDE | CINQVIESME EDITION | Reueuë, corrigée, & de beaucoup augmentée | Mathematicien | LES QVINZE LIVRES DES ELEMENTS D’EVCLIDE | Latin | François | EVCLIDE",Mathematicien
Bologna_1651,1651,Bologna,ITALIAN,,,euclid_humanist_transfer,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,EVCLIDE,Tradotti | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | Italiana | EVCLIDE,SENATO DI BOLOGNA | SENATO DI BOLOGNA
Bologna_1651a,1651,Bologna,ITALIAN,,,euclid_humanist_transfer,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,EVCLIDE,Tradotti | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | Tradotti in lingua Italiana | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | Italiana | EVCLIDE,SENATO DI BOLOGNA
bib-102,1652,Jena,GERMAN,,,euclid_sparse_canonical,Teutscher EuCLIDES,ELEMENTEN,Eu- CLIDES,Teutscher EuCLIDES | Geometrische Beschreibung | PRO- FESSORIS MATHEMA- TICI in der Univer- sitet Jena | ELEMENTEN | Teutscher EuCLIDES | Teutscher | Eu- CLIDES,Univer- sitet Jena | PRO- FESSORIS MATHEMA- TICI in der Univer- sitet Jena
Paris_1654,1654,Paris,LATIN,,,euclid_procedural_pedagogical,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI Sex,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI Sex,EVCLIDIS,correctior | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI Sex | priores breuiùs demonstrati | SECVNDA EDITIO correctior | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI Sex | EVCLIDIS,Societate IESV
Paris_1654a,1654,Paris,FRENCH,,,euclid_no_primary_subject,LES ELEMENTS D’EVCLIDE,ELEMENTS D’EVCLIDE,D’EVCLIDE,"EXPLIQVEZ | LES ELEMENTS D’EVCLIDE | IER, de la Compagnie de IESVS | ELEMENTS D’EVCLIDE | EXPLIQVEZ | D’EVCLIDE","Compagnie de IESVS | IER, de la Compagnie de IESVS | MONSIEVR LE CHEVALIER DE MESMES"
bib-272,1654,Paris,FRENCH,,,euclid_no_primary_subject,LES DIX LIVRES DES THEOREMES GEOMETRIQVES,LES DIX LIVRES DES THEOREMES GEOMETRIQVES,,LES DIX LIVRES DES THEOREMES GEOMETRIQVES | LES DIX LIVRES DES THEOREMES GEOMETRIQVES | Supplément des Sciences Mathématiques,
Rome_1655,1655,Rome,LATIN,,,euclid_composite_workshop,EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM Libri cum parte Vndecimi,EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM,EVCLIDIS,contracti | Accessere | EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM Libri cum parte Vndecimi | Ex maioribus CLAVII Com-mentarijs in commodiorem formam contracti | Ex maioribus CLAVII Com-mentarijs in commodiorem formam contracti | RERVMQVE MATHEMATICARVM | è Societate IESV OPVSCVLVM PRIMVM | CLAVII | ISAACI MONACHI | EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM | ISAACI MONACHI In sex eosdem Libros Scholia | Scholia | EVCLIDIS,Societate IESV OPVSCVLVM PRIMVM | RERVMQVE MATHEMATICARVM | è Societate IESV OPVSCVLVM PRIMVM | CLAVII | ISAACI MONACHI
Lyon_1675,1675,Lyon,LATIN,,,euclid_procedural_pedagogical,ELEMENTORUM EUCLIDIS LIBRI OCTO,ELEMENTORUM EUCLIDIS LIBRI OCTO,EUCLIDIS,"accommodati | ELEMENTORUM EUCLIDIS LIBRI OCTO | TERTIA EDITIO | Cæteris facilior & correctior | Camberiensi, Societ. JESU | ELEMENTORUM EUCLIDIS LIBRI OCTO | EUCLIDIS","Societ. JESU | Camberiensi, Societ. JESU"
Paris_1677a,1677,Paris,FRENCH,,,euclid_procedural_pedagogical,LES ELEMENS D’EVCLIDE,LES ELEMENS D’EVCLIDE,D’EVCLIDE,EXPLIQUEZ | LES ELEMENS D’EVCLIDE | Proposition pour toutes les parties des Mathematiques | P | LES ELEMENS D’EVCLIDE | D’EVCLIDE,Compagnie de JESUS | P
London_1678,1678,London,LATIN,,,euclid_procedural_pedagogical,EUCLIDIS Elementorum LIBRI XV,EUCLIDIS Elementorum LIBRI XV,EUCLIDIS,"purgati | EUCLIDIS Elementorum LIBRI XV | Breviter demonstrati | Et pri-oribus mendis typographicis nunc demum purgati | Cantabrigiensis, Coll. TRIN. Soc | EUCLIDIS Elementorum LIBRI XV | EUCLIDIS","Cantabrigiensis | Coll. TRIN. Soc | Cantabrigiensis, Coll. TRIN. Soc"
Naples_1679,1679,Naples,LATIN,,,euclid_sparse_canonical,EUCLIDIS ELEMENTORUM LIBRI SEX,EUCLIDIS ELEMENTORUM LIBRI SEX,EUCLIDIS,EUCLIDIS ELEMENTORUM LIBRI SEX | Ex traditione Fed- erici Commandini | EUCLIDIS ELEMENTORUM LIBRI SEX | EUCLIDIS,
