classification_key,year,city,language,short_title,author_or_editor,primary_subject_family,primary_classes,elements_designation,references_to_euclid,base_content,content_description,rich_claim_text_raw,rich_social_text_raw,euclid_outside_elements_route
Valencia_1569,1569,Valencia,LATIN,Elementa Arithmeticae ac Geometriae,Pedro Monçón,Geometry/Theory,Theoretical Mathematics,"ELEMENTA Arithmeticæ, ac GEOMETRIÆ",Euclide,"ELEMENTA Arithmeticæ, ac GEOMETRIÆ","Aristoteleam praesertim Dialecticam, ac Philosophiam apprime necessaria","AD disciplinas omnes | ELEMENTA Arithmeticæ, ac GEOMETRIÆ | Aristoteleam praesertim Dialecticam, ac Philosophiam apprime necessaria | auctor | ELEMENTA Arithmeticæ, ac GEOMETRIÆ | Euclide",AD disciplinas omnes | auctor,mixed mathematical system with Euclidean geometry
Valencia_1673,1673,Valencia,LATIN,,José Zaragoza,Geometry/Theory,Theoretical Mathematics,EVCLIDES,EVCLIDES,EVCLIDES,"NOVO-ANTIQUVS SINGVLARI METHOD O, ILLVSTRATVS","ILLVSTRATVS | EVCLIDES | NOVO-ANTIQUVS SINGVLARI METHOD O, ILLVSTRATVS | SECVNDA EDITIO | R. P | E SOCIETATE IESV | EVCLIDES | ILLVSTRATVS | EVCLIDES",Suprema Hispaniarum Inquisitione | Collegijs Balearico | Barcinonensi | Valentino Scholasticæ Theologiæ | Matritensi Academiæ Imperialis | R. P | E SOCIETATE IESV | D. DIDACVM DE LA TORRE,other Euclid/Elements reference
YPQYIR,1565,Paris,FRENCH,Le livre d'Archimède des pois,Pierre Forcadel,Applied Mechanics/Military,Mechanics,Liure d'Euclide,Euclide,Liure d'Euclide,du leger & du pesant,TRADVICT | COMMEN-  té | traduit | com- menté | intitu- lé | Liure d'Euclide | du leger & du pesant | lecteur ordinaire du Roy es Mathematiques en l'V-  niuerfité de Paris | Liure d'Euclide | Liure d'Euclide intitu-  lé du leger & du pesant traduit & com-  menté par le mesme Forcadel | Liure d'Euclide | Euclide,l'V-  niuerfité de Paris | lecteur ordinaire du Roy es Mathematiques en l'V-  niuerfité de Paris,other Euclid/Elements reference
ZYVGSH,1662,Oxford,LATIN,Elementi Decimi Euclidis Declaratio : Nec non De Solidis Regularibus Tractatus,William Oughtred,Geometry/Theory,Theoretical Mathematics,ELEMENTI DECIMI EUCLIDIS,EUCLIDIS,ELEMENTI DECIMI EUCLIDIS,DECLARATIO,ELEMENTI DECIMI EUCLIDIS | DECLARATIO | ELEMENTI DECIMI EUCLIDIS | De SOLIDIS REGULARIBUS TRACTATUS | De SOLIDIS REGULARIBUS TRACTATUS | EUCLIDIS,,other Euclid/Elements reference
bib-102,1652,Jena,GERMAN,,Heinrich Hofmann,No primary family,,ELEMENTEN,Eu- CLIDES,Teutscher EuCLIDES,Geometrische Beschreibung,Teutscher EuCLIDES | Geometrische Beschreibung | PRO- FESSORIS MATHEMA- TICI in der Univer- sitet Jena | ELEMENTEN | Teutscher EuCLIDES | Teutscher | Eu- CLIDES,Univer- sitet Jena | PRO- FESSORIS MATHEMA- TICI in der Univer- sitet Jena,other Euclid/Elements reference
bib-104,1681,Rome,LATIN,,Paolo Giòvio,No primary family,,tribus Libris Euclidis,Euclidis,tribus Libris Euclidis,,solemniter propositum | solutum | Omnibus totius Orbis Geometris | tribus Libris Euclidis | CANONICO | tribus Libris Euclidis | Euclidis,Omnibus totius Orbis Geometris | Universitate Pragensi | Universitate Romana | Seminarii Romani Coniurctoris | CANONICO | D. LIVIVM ODESCALCVM,other Euclid/Elements reference
bib-110,1692,Paris,FRENCH,,Bernard Lamy,Geometry/Theory,Practical Geometry,ELEMENS DE GEOMETRIE,Euclide,ELEMENS DE GEOMETRIE,ce qu’Euclide en a enseigné,ELEMENS DE GEOMETRIE | ce qu’Euclide en a enseigné | Prêtre de l’Oratoire | Ar- chimede | ELEMENS DE GEOMETRIE | les plus belles Propositions d’Ar- chimede | l’Analyse | Propositions d’Archimede | Analyse | Euclide,l’Oratoire | Prêtre de l’Oratoire | Ar- chimede,Euclidean practical geometry / measurement
bib-120,1648,London,LATIN,"Clavis mathematica denuò limata, sive potius fabricata. Cui accedit tractatus de resolutione æquationum qualitercunque adfectarum in numeris: et declaratio tum decimi elementi Euclidis de lateribus incommensurabilibus: tum decimi tertii & decimi quarti el",William Oughtred,Geometry/Theory | Arithmetic/Commerce,Arithmetic | Theoretical Mathematics,decimi elementi Euclidis,Euclidis,decimi elementi Euclidis,de lateribus incommensurabilibus: tum decimi tertii & decimi quarti ele- menti de quinque solidis Regularibus,"accedit | intexitur | decimi elementi Euclidis | de lateribus incommensurabilibus: tum decimi tertii & decimi quarti ele- menti de quinque solidis Regularibus | Anglo | decimi elementi Euclidis | Tractatus de Resolutione Æquatio- num qualitercunque adfectarum in numeris | Declaratio tum decimi elementi Euclidis de lateribus incommensurabilibus: tum decimi tertii & decimi quarti ele- menti de quinque solidis Regularibus | Logistica decimalis, & Logarithmorum Doctrina | Tractatus de Resolutione Æquatio- num qualitercunque adfectarum in numeris | Declaratio tum decimi elementi Euclidis de lateribus incommensurabilibus: tum decimi tertii & decimi quarti ele- menti de quinque solidis Regularibus | Logistica decimalis, & Logarithmorum Doctrina | Tractatus de Resolutione Æquationum | Declaratio | Logistica decimalis | Logarithmorum Doctrina | Euclidis",Anglo,mixed mathematical system with Euclidean geometry
bib-124,1624,Rome,ITALIAN,"La geometria prattica cavata da gl'elementi d'Euclide, e d'altri famosi autori. Ridotta in cinquanta tavole, scolpite in rame",Giovanni Pomodoro,Geometry/Theory,Practical Geometry,gli elementi d’Euclide,Euclide,gli elementi d’Euclide,"In cinquanta Tavole, scolpite in Rame, dalle quali con facilità possono apprendere tutte le cose, che al buon Geometra s’appartengono","Cauata da | Matematici | Architetti | Geografi | Cosmografi | Bombardieri | Ingegneri | Soldati | tutti gli studiosi d’essi | gli elementi d’Euclide | In cinquanta Tavole, scolpite in Rame, dalle quali con facilità possono apprendere tutte le cose, che al buon Geometra s’appartengono | Matematico | gli elementi d’Euclide | In cinquanta Tavole, scolpite in Rame | Euclide",Matematici | Architetti | Geografi | Cosmografi | Bombardieri | Ingegneri | Soldati | tutti gli studiosi d’essi | Matematico | SIG. PAOLO SAVELLO,Euclidean practical geometry / measurement
bib-125,1691,Rome,ITALIAN,"La geometria prattica di Gio. Pomodoro venetiano cavata da gl'elementi d'Euclide, e d'altri famori autori, con l'espositione di Gio. Scala matematico. Ridotta in cinquanta tavole, scolpite in rame dalle quali con facilità si possono apprendere tutte le cose che al buon geometra appartengono",Giovanni Pomodoro,Geometry/Theory,Practical Geometry,gl’elementi d’Euclide,Euclide,gl’elementi d’Euclide,,Cauata da | Ridotta | à Misuratori | ad Architetti | à Geografi | à Cosmografi | à Bombardieri | à Ingegneri | à Soldati | à Capitani d’Eserciti | gl’elementi d’Euclide | Ridotta in cinquanta Tavole | Matematico | gl’elementi d’Euclide | l’espositione | cinquanta Tavole | Euclide,à Misuratori | ad Architetti | à Geografi | à Cosmografi | à Bombardieri | à Ingegneri | à Soldati | à Capitani d’Eserciti | Matematico | IL SIG CARDINALE IACOMO NINI,Euclidean practical geometry / measurement
bib-126,1667,Rome,ITALIAN,"La geometria prattica di Gio. Pomodoro venetiano cavata da gl'elementi d'Euclide, e d'altri famosi autori, con l'espositione di Gio. Scala matematico. Ridotta in cinquanta tavole, scolpite in rame, dalle quali con facilita si possono apprendere tutte le cose, che al buon geometra appartengono",Giovanni Pomodoro,Geometry/Theory,Practical Geometry,gl’elementi d’Euclide,Euclide,gl’elementi d’Euclide,,"Cauata | espositione | Ridotta | à Misuratori, ad Architetti, à Geografi, à Cosmografi, à Bombardieri, à Ingegneri, à Soldati, & à Capitani d’Eserciti | gl’elementi d’Euclide | Matematico | gl’elementi d’Euclide | cinquanta Tavole, scolpite in Rame | Euclide","à Misuratori, ad Architetti, à Geografi, à Cosmografi, à Bombardieri, à Ingegneri, à Soldati, & à Capitani d’Eserciti | Matematico | ALL’EMINENTISS. E REVERENDISS. SIG IL SIG CARDINALE IACOMO NINI",Euclidean practical geometry / measurement
bib-129,1569,Basel,LATIN,,Pierre de la Ramée,Arithmetic/Commerce,Arithmetic,GEOMETRIAE SEPTEM ET VIGINTI,,GEOMETRIAE SEPTEM ET VIGINTI,,GEOMETRIAE SEPTEM ET VIGINTI | GEOMETRIAE SEPTEM ET VIGINTI | ARITHMETICAE LIBRI DUO | ARITHMETICAE LIBRI DUO,,mixed mathematical system with Euclidean geometry
bib-130,1627,Frankfurt,LATIN,,Pierre de la Ramée,Arithmetic/Commerce,Arithmetic,ARITHMETICAE LIBRI DUO ET GEOMETRIAE SEPTEM ET VIGINTI,,ARITHMETICAE LIBRI DUO ET GEOMETRIAE SEPTEM ET VIGINTI,,"recogniti | aucti | emendati | locupletati | ARITHMETICAE LIBRI DUO ET GEOMETRIAE SEPTEM ET VIGINTI | Dudum quidem à LAZARO SCHONERO recogniti & aucti, nunc vero in postrema hac editione in numeris locis emendati & locupletati | PHILOSOPHI CELEBER- RIMI, ELOQUENTIAE ET MATHE- MATICARUM DISCIPLINARUM Professoris Regii | LAZARO SCHONERO | ARITHMETICAE LIBRI DUO ET GEOMETRIAE SEPTEM ET VIGINTI | aucti | emendati | locupletati","PHILOSOPHI CELEBER- RIMI, ELOQUENTIAE ET MATHE- MATICARUM DISCIPLINARUM Professoris Regii | LAZARO SCHONERO",mixed mathematical system with Euclidean geometry
bib-143,1690,Rome,LATIN,,Girolamo Vitali,No primary family,,,,,"Continens Terminum, praesertim exoticorum, dilucidationem, Nominis rationem, atque Etymologiam, Principia, Praecepta communia, Axiomata, &c. ac brevem, & exactam Doctrinae traditionem","additis | Rerum omnium ad universam planè Mathesim quocunque modo, directè, vel indirectè spectantium | Tyronum | Continens Terminum, praesertim exoticorum, dilucidationem, Nominis rationem, atque Etymologiam, Principia, Praecepta communia, Axiomata, &c. ac brevem, & exactam Doctrinae traditionem | additis, ubi opus est, schematibus","Rerum omnium ad universam planè Mathesim quocunque modo, directè, vel indirectè spectantium | Tyronum",other Euclid/Elements reference
bib-145,1678,Madrid,SPANISH,"Euclides nuevo-antiguo geometria especulativa y practica de los planos, y solidos",José Zaragoza,Geometry/Theory,Practical Geometry | Theoretical Mathematics,EVCLIDES NVEVO-ANTIGVO,EVCLIDES,EVCLIDES NVEVO-ANTIGVO,"GEOMETRIA ESPECVLATIVA, Y PRACTICA DE LOS PLANOS, Y SOLIDOS","EVCLIDES NVEVO-ANTIGVO | GEOMETRIA ESPECVLATIVA, Y PRACTICA DE LOS PLANOS, Y SOLIDOS | de la Compañía de Iesvs, Calificador de la Su- prema Inquisicion, Cathedratico de Theologia Escolástica en los Colegios de Mallorca, Barce- lona, y Valencia; y de Mathematica en el Impe- rial de Madrid: de la Real Junta de Minas, y Maestro de Mathematicas de su Mag. Carlos II | EVCLIDES NVEVO-ANTIGVO | EVCLIDES","de la Compañía de Iesvs | los Colegios de Mallorca, Barce- lona, y Valencia | el Imperial de Madrid | de la Real Junta de Minas | de la Compañía de Iesvs, Calificador de la Su- prema Inquisicion, Cathedratico de Theologia Escolástica en los Colegios de Mallorca, Barce- lona, y Valencia; y de Mathematica en el Impe- rial de Madrid: de la Real Junta de Minas, y Maestro de Mathematicas de su Mag. Carlos II | AL EXCmo. SEÑOR D. GREGORIO de Silva, &c. Principe de Melito, Duque del Infantado, y Pastrana, &c",Euclidean practical geometry / measurement
bib-147,1557,Venice,ITALIAN,Due dialoghi di m. Iacomo de' Lanteri da Paratico bresciano; ne i quali s'introduce messer Girolamo Catanio novarese & messer Francesco Trevisi ingegnero veronese con un giovene bresciano a ragionare del modo di disegnare le piante delle fortezze secondo Euclide; et del modo di comporre i modelli et torre in disegno le piante della città,Giacomo Lanteri,Geometry/Theory | Visual/Spatial Arts | Applied Mechanics/Military,Architecture | Military Engineering | Practical Geometry,,Euclide,DEL MODO DI DISEGNARE LE piante delle fortezze secondo Euclide,"ET DEL MODO DI COMPORRE I MODELLI, & torre in disegno le piante delle Città","S’INTRODVCE | DEL MODO DI DISEGNARE LE piante delle fortezze secondo Euclide | ET DEL MODO DI COMPORRE I MODELLI, & torre in disegno le piante delle Città | Nouarese | ingegnero Veronese | Euclide",Nouarese | ingegnero Veronese | M. IACOMO DE’ LANTERI,visual/spatial arts using Euclidean geometry
bib-169,1552,Paris,FRENCH,,Oronce Finé,Cosmos/Earth,Astronomy | Cosmography | Geography,,,L’SPHERE DU MON- DE,"PROPREMENT DITTE COS- mographie, composée nouvellement en françois, & divisée en cinq livres, comprenant la première partie de l’astronomie, & les principes universels de la géographie & hydrographie","composée | divisée | comprenant | touchant | L’SPHERE DU MON- DE | PROPREMENT DITTE COS- mographie, composée nouvellement en françois, & divisée en cinq livres, comprenant la première partie de l’astronomie, & les principes universels de la géographie & hydrographie | NATIF DU Daulphiné | lecteur Mathematicien du tres-chrestien Roy de France en l’université de Paris | Avec une épistre, touchant la dignité, perfection & utilité des sciences mathematiques | en françois",l’université de Paris | NATIF DU Daulphiné | lecteur Mathematicien du tres-chrestien Roy de France en l’université de Paris,other Euclid/Elements reference
bib-182,1626,Leiden,LATIN,,Adriaan Metius,Geometry/Theory | Arithmetic/Commerce | Applied Mechanics/Military,Arithmetic | Military Engineering | Trigonometry,GEOMETRIA  LIB. VI,,ARITHMETICÆ LIBRI DUO | GEOMETRIA  LIB. VI,,diuingitur | ARITHMETICÆ LIBRI DUO | GEOMETRIA  LIB. VI | GEOMETRIA  LIB. VI | TRIGONOMETRIÆ Planorium Methodus succincta | FORTIFICATIONES | TRIGONOMETRIÆ | FORTIFICATIONES,,mixed mathematical system with Euclidean geometry
bib-186,1585,Leiden,FRENCH,,Simon Stevin,Arithmetic/Commerce,Arithmetic,Dixiesme Livre d’Euclide,Dixiesme Livre d’Euclide,Dixiesme Livre d’Euclide,,traduits | Dixiesme Livre d’Euclide | Diophante d’Alexandrie | Dixiesme Livre d’Euclide | Les Tables d’Interest | La Dîme | un traité des Incommensurables grandeurs | l’Explication du Dixiesme Livre d’Euclide | les quatre premiers liures d’Algebre de Diophante d’Alexandrie | un liure particulier de la Practique d’Arithmetique | les quatre premiers liures d’Algebre de Diophante d’Alexandrie | un liure particulier de la Practique d’Arithmetique | en François | Dixiesme Livre d’Euclide,Diophante d’Alexandrie,mixed mathematical system with Euclidean geometry
bib-189,1615,Leiden,DUTCH,,Ludolph van Ceulen,Geometry/Theory | Arithmetic/Commerce,Arithmetic | Theoretical Mathematics | Trigonometry,,,DE   Arithmetische en Geometrische   fondamenten,"Met het ghebruyck van dien   In veele verscheydene constighe questien, soo Geometrice door   linien, als Arithmetice door irrationale ghetallen,   oock door den regel Coß, ende de tafelen   sinuum ghesolvvert","DE   Arithmetische en Geometrische   fondamenten | Met het ghebruyck van dien   In veele verscheydene constighe questien, soo Geometrice door   linien, als Arithmetice door irrationale ghetallen,   oock door den regel Coß, ende de tafelen   sinuum ghesolvvert",,mixed mathematical system with Euclidean geometry
bib-190,1701,London,ENGLISH,,Samuel Jeake,Arithmetic/Commerce,Arithmetic | Commercial Mathematics,,,Body of Arithmetick,"WHEREIN THE  Whole Nature of NUMBERS, with their Simple and Comparative  Elements in all the Parts of ARITHMETICK, are plainly Declared,  and fully Handled","added | Explain’d | Declared | Handled | Illustrated | digested | delivered | Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES | Body of Arithmetick | WHEREIN THE  Whole Nature of NUMBERS, with their Simple and Comparative  Elements in all the Parts of ARITHMETICK, are plainly Declared,  and fully Handled | Merchant | Excellent RULES of PRACTICE | Many Large and Exact TABLES of all Sorts of Coins, Weights,  Measures, &c. Ancient and Modern, in most Countries, reduced to our own | divers Etymologies, Symbols, Characters,  and Abbreviations for Artificial Terms, Words, Names,  and Denominations | Illustrated by sundry Tables, Diagrams, and very  many Examples","Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES | Merchant",mixed mathematical system with Euclidean geometry
bib-20,1599,Rome,ITALIAN,Geometria prattica tratta dagl’Elementi d’Euclide et altri auttori da Giovanni Pomodoro venetiano mathematico eccellentissimo descritta et dichiarata da Giovanni Scala mathematico,"Giovanni Pomodoro, Giovanni Scala",Geometry/Theory,Practical Geometry,Elementi d’Euclide,Euclide,Elementi d’Euclide,,"TRATTA | descritta | Dichiarata | ad un buon Geometra | à Misuratori di terreni, di fabriche, et altri simili | à Geografi, Cosmografi, Architetti Civili, et Militari | à Bombardieri, Soldati privati, Capitani, Maestri di Campo | à qual si Voglia altra persona Virtuosa | Elementi d’Euclide | Mathematico eccellentissimo | Mathematico | Elementi d’Euclide | 150. Tavole di Rame | Euclide","ad un buon Geometra | à Misuratori di terreni, di fabriche, et altri simili | à Geografi, Cosmografi, Architetti Civili, et Militari | à Bombardieri, Soldati privati, Capitani, Maestri di Campo | à qual si Voglia altra persona Virtuosa | Mathematico eccellentissimo | Mathematico",Euclidean practical geometry / measurement
bib-216,1694,London,ENGLISH,,John Hawkins,No primary family,,,,,,"added | Children and Youth | Men of all Degrees, and Qualities | School-master at St. Georges Church in Southwark | An Appendix containing the Principles of Arith- metick; with an Account of Coins, Weights, Measure, Time, &c | THE ENGLISH","Children and Youth | Men of all Degrees, and Qualities | St. Georges Church in Southwark | Universities | City of London | School-master at St. Georges Church in Southwark",other Euclid/Elements reference
bib-218,1634,London,ENGLISH,,William Webster,Arithmetic/Commerce,Arithmetic,,,THE PRINCIPLES of Arithmetick,"WITH Helpfull Observations, making the Entrance easie, and the Practice pleasant","making | THE PRINCIPLES of Arithmetick | WITH Helpfull Observations, making the Entrance easie, and the Practice pleasant | WITH Helpfull Observations | With new and notable Abridgements | with extraordinarie Helps | some excellent Observations | TEACHING The five ordinary parts of ARITHME- TICK, the usuall way | Rules of PRACTICE, with extraordinarie Helps | The doctrine of FRACTIONS, The foure Rules of ARITHMETICK | Recreations extraordinary; or the easie perfor- mance of (seeming) Impossibilities | The five ordinary parts of ARITHME- TICK | Rules of PRACTICE | The doctrine of FRACTIONS | Recreations extraordinary",,mixed mathematical system with Euclidean geometry
bib-234,1660,London,ENGLISH,"Mathematical elements, in III parts. The first being a discourse of practical geometry, the three parts of continued quantity lines, planes, and solids. The second a description and use of the coelestial and terrestrial globes. The third the delineation of the globe upon t plain of any great circle, according to the stereographick, or circular projection. By John Newton. M.A.",John Newton,Geometry/Theory | Cosmos/Earth,Astronomy | Cartography | Geography | Practical Geometry,Mathematical ELEMENTS,,Mathematical ELEMENTS,"In III Parts | The first, being a Discourse of PRACTICAL GEOMETRY, The three Parts of continued Quantity, LINES, PLANES, and SOLIDS | The second, A Description and Use of the Coelestial and Terrestrial  GLOBES | The third, The Delineation of the Globe upon the Plain of any Great Circle, according to the Stereographick, or Circular projection","Mathematical ELEMENTS | In III Parts | The first, being a Discourse of PRACTICAL GEOMETRY, The three Parts of continued Quantity, LINES, PLANES, and SOLIDS | The second, A Description and Use of the Coelestial and Terrestrial  GLOBES | The third, The Delineation of the Globe upon the Plain of any Great Circle, according to the Stereographick, or Circular projection | M.A | Mathematical ELEMENTS",M.A,Euclidean practical geometry / measurement
bib-235,1702,London,ENGLISH,,William Jones,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,Astronomy | Instrument Use | Navigation | Theoretical Mathematics | Trigonometry,The Elements of Plain Trigonometry,,The Elements of Plain Trigonometry,"and it’s Application to Plain, Mercator’s and Middle-Latitude Sailing","The Elements of Plain Trigonometry | and it’s Application to Plain, Mercator’s and Middle-Latitude Sailing | The Elements of Plain Trigonometry | New Tables of the Sun’s Declination | the most Useful and Necessary Problems in Astronomy | The Method of finding the Variation of the Compass, Working an Observation, the Reason and Use of the Log-Line, Allowances for Lee-way: With New Tables of the Sun’s Declination, &c | Problems in Astronomy | The Method of finding the Variation of the Compass",,mixed mathematical system with Euclidean geometry
bib-24,1575,Bordeaux,LATIN,,Elie Vinet,Geometry/Theory,Theoretical Mathematics,"ELEMENTI QVINCTI, ET SEXTI, EVCLIDIS",EVCLIDIS,"ELEMENTI QVINCTI, ET SEXTI, EVCLIDIS",DEFINITIONES,"INTERPRETATÆ | ELEMENTI QVINCTI, ET SEXTI, EVCLIDIS | DEFINITIONES | ELEMENTI QVINCTI, ET SEXTI, EVCLIDIS | EVCLIDIS",,other Euclid/Elements reference
bib-250,1694,Paris,FRENCH,,Jacques Ozanam,Arithmetic/Commerce | Instruments/Measurement | Cosmos/Earth | Applied Mechanics/Military,Arithmetic | Cosmography | Gnomonics & Horology | Mechanics,,,,"Plusieurs Problêmes d’Arithmetique, de Geome- trie, d’Optique, de Gnomonique, de Cosmo- graphie, de Mecanique, de Pyrotechnié, & de Physique","Plusieurs Problêmes d’Arithmetique, de Geome- trie, d’Optique, de Gnomonique, de Cosmo- graphie, de Mecanique, de Pyrotechnié, & de Physique | Professeur des Mathematiques | un Traité nouveau des Horloges Elementaires | Traité nouveau des Horloges Elementaires",Professeur des Mathematiques,mixed mathematical system with Euclidean geometry
bib-272,1654,Paris,FRENCH,,Blaise Francois Pagan,No primary family,,LES DIX LIVRES DES THEOREMES GEOMETRIQVES,,LES DIX LIVRES DES THEOREMES GEOMETRIQVES,,LES DIX LIVRES DES THEOREMES GEOMETRIQVES | LES DIX LIVRES DES THEOREMES GEOMETRIQVES | Supplément des Sciences Mathématiques,,other Euclid/Elements reference
bib-274,1607,Padua,LATIN,,Baldassarre Capra,Geometry/Theory | Instruments/Measurement,Instrument Construction | Instrument Use | Practical Geometry,,Euclidis,VSUS ET FABRICA CIRCINI CVIVSDAM PROPORTIONIS,"omnia ferè tum Euclidis, tú Mathematicorum omnium problemata facili negotio resoluuntur","explicata | VSUS ET FABRICA CIRCINI CVIVSDAM PROPORTIONIS | omnia ferè tum Euclidis, tú Mathematicorum omnium problemata facili negotio resoluuntur | Nobilis Mediolanensis | Euclidis",Nobilis Mediolanensis,Euclidean practical geometry / measurement
bib-276,1560,Padua,LATIN,"Procli Diadochi Lycii philosophi platonici ac mathematici probatissimi In primum Euclidis Elementorum librum commentariorum ad vniuersam mathematicam disciplinam principium eruditionis tradentium libri IIII. A Francisco Barocio patritio Veneto summa opera, cura, ac diligentia cunctis mendis expurgati: scholiis, & figuris, quae in graeco codice omnes desiderabantnr [!] aucti: primùm iam Romanae linguae venustate donati, et nunc recèns editi. Cum catalogo deorum, & virorum illustrium, atque autorum ... & indice locupleti notabilium omnium in opere contentorum",Francesco Barozzi,Geometry/Theory,Practical Geometry | Theoretical Mathematics,PRIMUM EUCLIDIS Elementorum librum,EUCLIDIS,PRIMUM EUCLIDIS Elementorum librum,COMMENTARIORUM AD UNIVERSAM MATHEMATICAM DISCIPLINAM PRINCIPIUM ERUDITIONIS TRADENTIUM,"expurgati | aucti | donati | editi | PRIMUM EUCLIDIS Elementorum librum | COMMENTARIORUM AD UNIVERSAM MATHEMATICAM DISCIPLINAM PRINCIPIUM ERUDITIONIS TRADENTIUM | summa opera, cura, ac diligentia cunctis mendis expurgati: Scholiis, & Figuris, quæ in græco codice omnes desiderabantur, aucti: Primùm iam in Romanâ linguae venustate donati, & nunc recens editi | PROCLI DIADOCHI LYCII | PRIMUM EUCLIDIS Elementorum librum | Scholiis, & Figuris | Catalogo Deorum, & Virorum Illustrium, atque Auctorum | Catalogo Deorum | græco codice | Romanâ linguae | EUCLIDIS",PROCLI DIADOCHI LYCII,visual/spatial arts using Euclidean geometry
bib-279,1696,London,ENGLISH,"Logistikēlogia, or Arithmetick surveighed and reviewed: in four books. Viz. 1 book 1 part intergers. 2 part fractions. 2 book 1 part geodæticals. 2. part figurals 3 book 1 part decimals. 2 part astronomicals. 3 part logarithmes. 4 part coffics. 5 part surds. 6 part species. 4 book 1 part ratios. 2 part proportions disjunct. 3 part proportions continued. 4 part Æquations. Wherein the nature of numbers absolutely abstract, generally and specially contract,",Samuel Jeake,Arithmetic/Commerce,Arithmetic,,,ARITHMETICK,"Wherein the Nature of Numbers absolutely abstract, generally and specially contract, with their Simple and Comparative Elements, are plainly declared, and fully handled","Surveighed and Reviewed | ARITHMETICK | Wherein the Nature of Numbers absolutely abstract, generally and specially contract, with their Simple and Comparative Elements, are plainly declared, and fully handled | Surveighed and Reviewed | Senior | together with divers Etymologies, Symboles, Characters, and Abbreviations for Artificial Termes, Words, Names, and Denominations | Illustrated by sundry Tables, Diagrams, and very many Examples",Senior,mixed mathematical system with Euclidean geometry
bib-30,1627,Zurich,GERMAN,"Geometriae, Theoricae Et Practicae. XII. Bücher: Inn welchen die Geometrischen Fundament Euclidis, unnd der selben gebrauch, auff das kürtzest, unnd leichtest, als in einem Handbuch beschriben werden ; Allen Baw- und Kriegs verstendigen, Feldmessern, und",Johann Ardüser,Geometry/Theory,Practical Geometry | Theoretical Mathematics,"Geometriae, Theoricae Et Practicae. XII. Bücher",Euclidis,"Geometriae, Theoricae Et Practicae. XII. Bücher","Inn welchen die Geometrischen Fundament Euclidis, unnd der selben gebrauch, auff das kürtzest, unnd leichtest, als in einem Handbuch beschriben werden","Allen Baw- und Kriegs verstendigen, Feldmessern | Geometriae, Theoricae Et Practicae. XII. Bücher | Inn welchen die Geometrischen Fundament Euclidis, unnd der selben gebrauch, auff das kürtzest, unnd leichtest, als in einem Handbuch beschriben werden | Geometriae, Theoricae Et Practicae. XII. Bücher | Euclidis","Allen Baw- und Kriegs verstendigen, Feldmessern",Euclidean practical geometry / measurement
bib-31,1646,Zurich,GERMAN,"Geometriae Theoricae Et Practicae Oder Von dem Feldmässen 14. Bücher: In welchen die Fundament Euclidis und derselbigen gebrauch, im abmässen und visieren aller Längen, Flächen und Cörpern: mit dem Feld-Wein-Treit und Gwichtruhten begriffen ; Allen so sic",Johann Ardüser,Geometry/Theory | Instruments/Measurement,Instrument Use | Practical Geometry | Surveying | Theoretical Mathematics,14. Bücher,Euclidis,GEOMETRIA Theorica und Practica Oder Von dem Feldmäsßen 14. Bücher,"In welchen die Fundament Euclidis und derselbigen Gebrauch, im Abmäsßen und Visieren aller Längen, Flächen und Cörpern: mit dem Feld-, Wein-, Treit- und Gwicht-Ruthen begriffen","beschrieben | begriffen | Allen | GEOMETRIA Theorica und Practica Oder Von dem Feldmäsßen 14. Bücher | In welchen die Fundament Euclidis und derselbigen Gebrauch, im Abmäsßen und Visieren aller Längen, Flächen und Cörpern: mit dem Feld-, Wein-, Treit- und Gwicht-Ruthen begriffen | Hauptmann | Zürcher | 14. Bücher | Fundament Euclidis | Euclidis",Allen | Hauptmann | Zürcher,Euclidean practical geometry / measurement
bib-33,1564,Venice,ITALIAN,"Del modo di misurare le distantie, le superficie, i corpi, le piante, le provincie, le prospettiue, & tutte le altre cose terrene, che possono occorrere a gli uomini, secondo le vere regole d'Euclide, & de gli altri più lodati scrittori",Cosimo Bartoli,Geometry/Theory | Visual/Spatial Arts | Instruments/Measurement,Perspective | Practical Geometry | Surveying,,d’Euclide,le vere regole d’Euclide,"DEL MODO DI MISVRARE le distantie, le superficie, i corpi, le piante, le prouincie, le prospettive, &  tutte le altre cose terrene, che posso­ no occorrere a gli huomini","le vere regole d’Euclide | DEL MODO DI MISVRARE le distantie, le superficie, i corpi, le piante, le prouincie, le prospettive, &  tutte le altre cose terrene, che posso­ no occorrere a gli huomini | GENTIL’HUOMO, ET | ACCADEMICO FIORENTINO | d’Euclide","GENTIL’HUOMO, ET | ACCADEMICO FIORENTINO",visual/spatial arts using Euclidean geometry
bib-59,1594,Leiden,LATIN,,Josephus Justus Scaliger,Geometry/Theory,Practical Geometry,CYCLOMETRICA ELEMENTA DUO,,CYCLOMETRICA ELEMENTA DUO,,CYCLOMETRICA ELEMENTA DUO | CYCLOMETRICA ELEMENTA DUO,"Illustres Nobiliss. Ampliss. Hollandiae, Westfrisiae, et Zeelandiae ORDINES",Euclidean practical geometry / measurement
