title,page_count,href,exists_in_commentaria,mathematics_related,subjects
"Brisson, Mathurin-Jacques - Ornithologia-Ornithologie. Vol. 5. Paris 1760.pdf",792,https://app.transkribus.org/sites/noscemus/doc/756873?colId=88639,,False,zoology
"Brisson, Mathurin-Jacques - Ornithologia-Ornithologie. Vol. 6. Paris 1760.pdf",1008,https://app.transkribus.org/sites/noscemus/doc/756875?colId=88639,,False,zoology
"Brożek, Jan - In duos συγχρόνους cosmographiae ocellos. Cracow 1618.pdf",10,https://app.transkribus.org/sites/noscemus/doc/617655?colId=88639,,True,astronomy
"Brożek, Jan - In Ptolemaeum et Copernicum duo naturae miracula. Cracow 1618.pdf",41,https://app.transkribus.org/sites/noscemus/doc/617654?colId=88639,,True,astronomy; theology
"Brożek, Jan - In turrim, quam Copernicus incolatu suo et opere revolutionum ibi confecto illustrem reddidit. Cracow 1618.pdf",10,https://app.transkribus.org/sites/noscemus/doc/617656?colId=88639,,True,astronomy
"Brumoy, Pierre - De arte vitraria. Caen 1712.pdf",62,https://app.transkribus.org/sites/noscemus/doc/749366?colId=88639,,False,chemistry
"Brumoy, Pierre - De arte vitraria. Paris 1741.pdf",307,https://app.transkribus.org/sites/noscemus/doc/618462?colId=88639,,False,chemistry
"Brunfels, Otto - Catalogus illustrium medicorum. Strasbourg 1530.pdf",97,https://app.transkribus.org/sites/noscemus/doc/693176?colId=88639,,False,medicine
"Brunfels, Otto - Herbarum vivae eicones. Vol. 3. Strasbourg 1536.pdf",245,https://app.transkribus.org/sites/noscemus/doc/676442?colId=88639,,False,botany
"Brunfels, Otto - Herbarum vivae eicones. Vols. 1-2. Strasbourg 1530-1531.pdf",651,https://app.transkribus.org/sites/noscemus/doc/915173?colId=88639,,False,botany
"Brunfels, Otto - Onomasticon medicinae. Strasbourg 1534.pdf",373,https://app.transkribus.org/sites/noscemus/doc/888136?colId=88639,,False,medicine
"Bruno, Giordano - De innumerabilibus, immenso et infigurabili. Frankfurt am Main 1591.pdf",689,https://app.transkribus.org/sites/noscemus/doc/668493?colId=88639,,Unknown,unknown
"Buchanan, George - Sphaera. Herborn 1586.pdf",117,https://app.transkribus.org/sites/noscemus/doc/709641?colId=88639,,True,astronomy
"Buonanni, Filippo - Observationes circa viventia. Rome 1691.pdf",618,https://app.transkribus.org/sites/noscemus/doc/742068?colId=88639,,False,zoology; scientific method
"Burnet, Thomas - Telluris theoria sacra. London 1681.pdf",341,https://app.transkribus.org/sites/noscemus/doc/839339?colId=88639,,False,geography; theology
"Bussingius, Caspar - De situ telluris Paradisiacae et chiliasticae Burnetiano ad eclipticam recto. Hamburg 1695.pdf",52,https://app.transkribus.org/sites/noscemus/doc/692921?colId=88639,,Unknown,geography
"Büttner, Daniel & Bötticher, Bernhard - Chiologia seu disputatio de nive. Hamburg 1693.pdf",11,https://app.transkribus.org/sites/noscemus/doc/695639?colId=88639,,Unknown,snow and ice
"Cabeo, Niccolò - Philosophia magnetica. Ferrara 1629.pdf",449,https://app.transkribus.org/sites/noscemus/doc/742419?colId=88639,,Unknown,physics; philosophy
"Caius, John - The Works of John Caius. Cambridge 1912.pdf",872,https://app.transkribus.org/sites/noscemus/doc/686638?colId=88639,,Unknown,unknown
"Callard de LaDucquerie, Jean Baptiste - Lexicon medicum etymologicum. Caen & Paris 1693.pdf",647,https://app.transkribus.org/sites/noscemus/doc/746744?colId=88639,,False,medicine; language
"Camerarius, Joachim - Commentarii utriusque linguae. Basel 1551.pdf",325,https://app.transkribus.org/sites/noscemus/doc/616638?colId=88639,,False,language
"Camerarius, Joachim - De solis defectu. Tübingen 1539.pdf",25,https://app.transkribus.org/sites/noscemus/doc/704666?colId=88639,,True,astronomy
"Camerarius, Joachim et al. - De theriacis et mithridateis commentariolus. Nuremberg 1533.pdf",91,https://app.transkribus.org/sites/noscemus/doc/704667?colId=88639,,False,pharmacology
"Camerarius, Johannes - De podagrae laudibus oratio ... et aliae orationes .... Padua 1553.pdf",66,https://app.transkribus.org/sites/noscemus/doc/702148?colId=88639,,False,medicine
"Camerarius, Rudolf Jakob - De sexu plantarum epistola. Tübingen 1694.pdf",117,https://app.transkribus.org/sites/noscemus/doc/652468?colId=88639,,False,botany; literature
"Camerarius, Rudolf Jakob & Mauchart, Joh. David - De herba mimosa seu sentiente. Tübingen 1688.pdf",21,https://app.transkribus.org/sites/noscemus/doc/658380?colId=88639,,False,botany
"Campanella, Tommaso - Apologia pro Galileo. Frankfurt am Main. 1622.pdf",66,https://app.transkribus.org/sites/noscemus/doc/901017?colId=88639,,Unknown,unknown
"Candidus, Pantaleon - Tabulae chronologicae. Strasbourg 1597.pdf",275,https://app.transkribus.org/sites/noscemus/doc/928888?colId=88639,,True,chronology
"Cappeller, Moritz Anton - Pilati montis historia. Basel 1767.pdf",205,https://app.transkribus.org/sites/noscemus/doc/632438?colId=88639,,False,history
"Cappeller, Moritz Anton - Prodromus crystallographiae. Luzern 1723.pdf",73,https://app.transkribus.org/sites/noscemus/doc/605285?colId=88639,,Unknown,crystallography
"Cardano, Girolamo - Ars magna. Nuremberg 1545.pdf",193,https://app.transkribus.org/sites/noscemus/doc/660344?colId=88639,,True,mathematics
"Cardano, Girolamo - De subtilitate. Nuremberg 1550.pdf",417,https://app.transkribus.org/sites/noscemus/doc/704668?colId=88639,,True,mathematics
"Cardano, Girolamo - In Claudio Ptoelmaei Perlusiensis IIII de Astrorum iudiciis ... Basel 1554.pdf",512,https://app.transkribus.org/sites/noscemus/doc/928151?colId=88639,,True,mathematics
"Cardano, Girolamo - Libelli quinque. Nuremberg 1547.pdf",639,https://app.transkribus.org/sites/noscemus/doc/801750?colId=88639,,True,mathematics
"Cardano, Girolamo - Liber de libris propriis. Lyon 1557.pdf",193,https://app.transkribus.org/sites/noscemus/doc/704337?colId=88639,,True,mathematics
"Cardano, Girolamo - Metoposcopia. Paris 1658.pdf",253,https://app.transkribus.org/sites/noscemus/doc/732033?colId=88639,,True,mathematics
"Cardano, Girolamo & Naudé, Gabriel - De propria vita liber. Paris 1643.pdf",475,https://app.transkribus.org/sites/noscemus/doc/693177?colId=88639,,False,biography
"Cardano, Girolamo - Opera omnia. Vol. 1. Lyon 1663.pdf",783,https://app.transkribus.org/sites/noscemus/doc/696816?colId=88639,,True,mathematics
"Cardano, Girolamo - Somniorum Synesiorum libri quatuor. Basel 1562.pdf",789,https://app.transkribus.org/sites/noscemus/doc/632439?colId=88639,,True,mathematics
"Castelli, Bartolomeo - Lexicon medicum Graecolatinum. Messina 1598.pdf",481,https://app.transkribus.org/sites/noscemus/doc/888129?colId=88639,,False,medicine; language
"Castillon, Johann - De vita Isaaci Newtoni commentariolus. Lausanne & Geneva 1744.pdf",46,https://app.transkribus.org/sites/noscemus/doc/605911?colId=88639,,False,biography
"Castro, Pedro de - Bibliotheca medici eruditi. Bergamo 1742.pdf",185,https://app.transkribus.org/sites/noscemus/doc/746791?colId=88639,,False,medicine; bibliography
"Castro, Pedro de - Bibliotheca medici eruditi. Padova 1654.pdf",127,https://app.transkribus.org/sites/noscemus/doc/630006?colId=88639,,False,medicine; bibliography
"Catena, Pietro - Oratio pro idea methodi. Padua 1563.pdf",25,https://app.transkribus.org/sites/noscemus/doc/705664?colId=88639,,Unknown,scientific method
"Caturegli, Pietro - Ephemerides motuum caelestium ex anno 1829 in annum 1832. Bologna 1828.pdf",403,https://app.transkribus.org/sites/noscemus/doc/906162?colId=88639,,True,astronomy
"Cavalieri, Bonaventura - Exercitationes geometricae sex. Bologna 1647.pdf",565,https://app.transkribus.org/sites/noscemus/doc/928695?colId=88639,,True,geometry
"Cavalieri, Bonaventura - Geometria indivisibilibus continuorum promota. Bologna 1653.pdf",569,https://app.transkribus.org/sites/noscemus/doc/921412?colId=88639,,True,geometry
"Cellarius, Andreas - Harmonia Macrocosmica. Amsterdam 1661.pdf",391,https://app.transkribus.org/sites/noscemus/doc/725077?colId=88639,,Unknown,music
"Celsius, Anders - Observationes de lumine Boreali. Nuremberg 1733",64,https://app.transkribus.org/sites/noscemus/doc/1378359?colId=88639,,Unknown,scientific method
"Celtis, Konrad - Quattuor libri amorum secundum quattour latera Germaniae feliciter incipiunt. Nuremberg 1502.pdf",262,https://app.transkribus.org/sites/noscemus/doc/835556?colId=88639,,False,literature
"Cermisonus, Antonius – Recollectae de urinis, Venice 1479",36,https://app.transkribus.org/sites/noscemus/doc/5724548?colId=88639,,False,medicine
"Cesalpino, Andrea - De plantis. Florence 1583.pdf",673,https://app.transkribus.org/sites/noscemus/doc/618493?colId=88639,,False,botany
"Cesalpino, Andrea - Praxis universae artis medicae. Treviso 1606.pdf",743,https://app.transkribus.org/sites/noscemus/doc/767767?colId=88639,,False,medicine
"Cesi, Bernardo - Mineralogia. Lyon 1636",719,https://app.transkribus.org/sites/noscemus/doc/597799?colId=88639,,False,mineralogy
"Champier, Symphorien - Vocabulorum medicinalium epitoma. Lyon 1508.pdf",577,https://app.transkribus.org/sites/noscemus/doc/888137?colId=88639,,False,medicine
"Ciruelo, Pedro - Apotelesmata astrologiae Christianae. Madrid 1521.pdf",325,https://app.transkribus.org/sites/noscemus/doc/831513?colId=88639,,False,astrology; theology
"Clavius, Christoph & Euclides - Euclidis elementorum libri XV. Rome 1574.pdf",753,https://app.transkribus.org/sites/noscemus/doc/911543?colId=88639,Rome_1574,True,geometry
"Clavius, Christoph - In Sphaeram Ioannis de Sacrobosco commentarius. Rome 1570.pdf",523,https://app.transkribus.org/sites/noscemus/doc/731626?colId=88639,220OQK,True,astronomy
"Clerck, Carl - Svenska spindlar-Aranei Suecici. Stockholm 1757.pdf",197,https://app.transkribus.org/sites/noscemus/doc/752862?colId=88639,,False,zoology
"Clüver, Philipp - Sicilia antiqua. Leiden 1619.pdf",559,https://app.transkribus.org/sites/noscemus/doc/775167?colId=88639,,Unknown,geography
"Coiter, Volcher - Externarum et internarum principalium humani corporis partium tabulae. Nuremberg 1572.pdf",167,https://app.transkribus.org/sites/noscemus/doc/808813?colId=88639,,False,anatomy
"Colombo, Cristoforo & Cosco, Leander de - Epistola de insulis Indiae supra Gangem nuper inventis. Rome 1493.pdf",18,https://app.transkribus.org/sites/noscemus/doc/808352?colId=88639,,False,literature
"Colonna, Fabio - ΦΥΤΟΒΑΣΑΝΟΣ (Phytobasanos). Naples 1592.pdf",192,https://app.transkribus.org/sites/noscemus/doc/752863?colId=88639,,False,botany
"Cominale, Celestino - Anti-Newtonianismus. Vol. 1. Naples 1754.pdf",239,https://app.transkribus.org/sites/noscemus/doc/691681?colId=88639,,True,mathematics
"Cominale, Celestino - Anti-Newtonianismus. Vol. 2. Naples 1756.pdf",287,https://app.transkribus.org/sites/noscemus/doc/691682?colId=88639,,True,mathematics
Commentarii Academiae Scientiarum Imperialis Petropolitanae. Tomus IV. ad annum MDDXXIX. Saint Petersburg 1735.pdf,480,https://app.transkribus.org/sites/noscemus/doc/733505?colId=88639,,Unknown,multidisciplinary science
Commentarii Academiae Scientiarum Imperialis Petropolitanae. Vol. 3. Saint Petersburg 1732.pdf,538,https://app.transkribus.org/sites/noscemus/doc/864510?colId=88639,,Unknown,multidisciplinary science
Commentarii Academiae Scientiarum Imperialis Petropolitanae. Vol. 5. Saint Petersburg 1738.pdf,514,https://app.transkribus.org/sites/noscemus/doc/864511?colId=88639,,Unknown,multidisciplinary science
Commentarii de rebus in scientia naturali et medicina gestis. Vol. 27. Leipzig 1785.pdf,772,https://app.transkribus.org/sites/noscemus/doc/863735?colId=88639,,False,medicine
"Commentarii de rebus in scientia naturali et medicina gestis. Vol. IX, pars I. Leipzig 1761.pdf",522,https://app.transkribus.org/sites/noscemus/doc/657724?colId=88639,,False,medicine
Commentationes Societatis Regiae Scientiarum Gottingensis recentiores. Vol. 16. Göttingen 1808.pdf,852,https://app.transkribus.org/sites/noscemus/doc/668494?colId=88639,,Unknown,multidisciplinary science
"Commentationes societatis regiae scientiarum Gottingensis recentiores. Vol. 6, Göttingen 1827.pdf",627,https://app.transkribus.org/sites/noscemus/doc/835250?colId=88639,,Unknown,multidisciplinary science
Commentationes Societatis Regiae Scientiarum Gottingensis. Vol. 10. Göttingen 1791.pdf,561,https://app.transkribus.org/sites/noscemus/doc/904451?colId=88639,,Unknown,multidisciplinary science
Commentationes Societatis Regiae Scientiarum Gottingensis. Vol. 11. Göttingen 1793.pdf,481,https://app.transkribus.org/sites/noscemus/doc/904452?colId=88639,,Unknown,multidisciplinary science
Commentationes Societatis Regiae Scientiarum Gottingensis. Vol. 12. Göttingen 1796.pdf,551,https://app.transkribus.org/sites/noscemus/doc/904453?colId=88639,,Unknown,multidisciplinary science
Commentationes Societatis Regiae Scientiarum Gottingensis. Vol. 14. Göttingen 1800.pdf,409,https://app.transkribus.org/sites/noscemus/doc/904454?colId=88639,,Unknown,multidisciplinary science
Commentationes Societatis Regiae Scientiarum Gottingensis. Vol. 16. Göttingen 1808.pdf,852,https://app.transkribus.org/sites/noscemus/doc/904455?colId=88639,,Unknown,multidisciplinary science
"Conring, Hermann & Scheffer, Sebastian - Introduction in universam artem medicam. Halle & Leipzig 1726.pdf",655,https://app.transkribus.org/sites/noscemus/doc/816419?colId=88639,,False,medicine
"Cordus, Euricius - Botanologicon. Cologne 1534.pdf",219,https://app.transkribus.org/sites/noscemus/doc/599726?colId=88639,,False,botany
"Cornarius, Janus (ed.) - Hippocratis Coi opera quae ad nos extant. Venice 1546.pdf",749,https://app.transkribus.org/sites/noscemus/doc/693178?colId=88639,,False,medicine
"Cortese, Pietro - Discursus astronomicus novissimus. Palermo 1642.pdf",135,https://app.transkribus.org/sites/noscemus/doc/904456?colId=88639,,True,astronomy
"Costeo, Giovanni & Mongio, Paolo - Avicennae canon medicinae. Vol. 1. Venice 1595.pdf",1023,https://app.transkribus.org/sites/noscemus/doc/900763?colId=88639,,False,medicine
"Crato, Johannes - Assertio pro libello suo Germanico. Frankfurt 1585.pdf",69,https://app.transkribus.org/sites/noscemus/doc/702149?colId=88639,,Unknown,unknown
"Cremonini, Cesare - Apologia dictorum Aristotelis. Venice 1613.pdf",101,https://app.transkribus.org/sites/noscemus/doc/807329?colId=88639,,Unknown,philosophy
"Cremonini, Cesare - Disputatio de coelo. Venice 1613.pdf",541,https://app.transkribus.org/sites/noscemus/doc/694626?colId=88639,,True,astronomy
"Creuzer, Friedrich Memoria Baldingeri. Marburg 1804.pdf",47,https://app.transkribus.org/sites/noscemus/doc/1636267?colId=88639,,False,history
"Crüger, Peter - Uranodormus cometicus. Gdańsk 1619.pdf",163,https://app.transkribus.org/sites/noscemus/doc/736346?colId=88639,,True,astronomy
"Crüger, Peter - Uranodromus cometicus. Gdańsk 1619.pdf",163,https://app.transkribus.org/sites/noscemus/doc/845314?colId=88639,,True,astronomy
"Cruisus, Paul - Liber de epochis. Basel 1578.pdf",173,https://app.transkribus.org/sites/noscemus/doc/731627?colId=88639,,Unknown,unknown
"Cu Cerceau, Jean-Antoine - Papiliones. Rouen 1696.pdf",31,https://app.transkribus.org/sites/noscemus/doc/607710?colId=88639,,False,zoology
"Cunitz, Maria - Urania propitia. Pitschen & Oels 1650.pdf",592,https://app.transkribus.org/sites/noscemus/doc/897301?colId=88639,,True,astronomy
"Curtz, Albert von - Problema Austriacum. Munich 1653.pdf",39,https://app.transkribus.org/sites/noscemus/doc/862098?colId=88639,,Unknown,unknown
"Dalechamps, Jacques - Historia generalis plantarum. Vol. 1. Lyon 1587.pdf",1108,https://app.transkribus.org/sites/noscemus/doc/725078?colId=88639,,False,botany; history
"Dalechamps, Jacques - Historia generalis plantarum. Vol 2. Lyon 1586.pdf",949,https://app.transkribus.org/sites/noscemus/doc/725400?colId=88639,,False,botany; history
"Dalrymple of Stair, James - Physiologia nova experimentalis. Leiden 1686.pdf",667,https://app.transkribus.org/sites/noscemus/doc/706765?colId=88639,,Unknown,scientific method
"Daniel, Gabriel - Iter per mundum Cartesii. Amsterdam 1694.pdf",517,https://app.transkribus.org/sites/noscemus/doc/823079?colId=88639,,Unknown,unknown
"Dasypodius, Konrad - Institutionum mathematicarum erotemata. Strasbourg 1593.pdf",348,https://app.transkribus.org/sites/noscemus/doc/888134?colId=88639,,True,mathematics; education
"Dasypodius, Konrad - Oratio de disciplinis mathematicis. Strasbourg 1579 (Dasypodius).pdf",297,https://app.transkribus.org/sites/noscemus/doc/732893?colId=88639,,True,mathematics
"Dasypodius, Konrad - ΛΕΞΙΚΟΝ (Lexikon) seu dictionarium mathematicum. Strasbourg 1573.pdf",205,https://app.transkribus.org/sites/noscemus/doc/823074?colId=88639,,True,mathematics; language
De Bononiensi scientiarum et artium instituto atque academia commentarii. Vol. 4. Bologna 1757.pdf,618,https://app.transkribus.org/sites/noscemus/doc/864508?colId=88639,,Unknown,multidisciplinary science
"de Conde, Ioannes Baptista - Aphorismi seu axiomata Hippocratis versu heroico explicata. Brussels 1647.pdf",115,https://app.transkribus.org/sites/noscemus/doc/1285853?colId=88639,,False,medicine
Deliciae poetarum Scotorum huius aevi illustrium. Vol. 1. Amsterdam 1637.pdf,711,https://app.transkribus.org/sites/noscemus/doc/902262?colId=88639,,False,literature
Deliciae poetarum Scotorum huius aevi illustrium. Vol. 2. Amsterdam 1637.pdf,579,https://app.transkribus.org/sites/noscemus/doc/898565?colId=88639,,False,literature
"Delius, Heinrich Friedrich von - Rudera terrae. Leipzig & Wolfenbüttel 1747.pdf",21,https://app.transkribus.org/sites/noscemus/doc/742418?colId=88639,,Unknown,geography
"Della Porta, Giambattista - De humana physiognomonia. Vico Equense 1586.pdf",306,https://app.transkribus.org/sites/noscemus/doc/668495?colId=88639,,True,astronomy
"Della Porta, Giambattista - De refractione. Naples 1593.pdf",242,https://app.transkribus.org/sites/noscemus/doc/767742?colId=88639,XANRSM,True,arithmetic; optics
"Della Porta, Giambattista - Magia naturalis. Naples 1558.pdf",199,https://app.transkribus.org/sites/noscemus/doc/807331?colId=88639,,False,alchemy
"De Roberval, Gilles Personne - Aristarchi Samii de mundi systemate. Paris 1644.pdf",164,https://app.transkribus.org/sites/noscemus/doc/807330?colId=88639,MorisS-27-2,True,astronomy
Descartes René - De homine. Leiden 1662.pdf,197,https://app.transkribus.org/sites/noscemus/doc/605240?colId=88639,,True,mathematics
"Descartes, René et al. - Geometria a Renato des Cartes edita Amsterdam 1659–1661.pdf",990,https://app.transkribus.org/sites/noscemus/doc/897958?colId=88639,,True,geometry
"Detharding, Georg Christoph - Invitatio ad anatomiam publicam. Rostock 1753.pdf",14,https://app.transkribus.org/sites/noscemus/doc/897259?colId=88639,,False,anatomy
"Dioscurides, Pedanius & Barbarus, Heromlaus Iunior - De materiali medicina. Venice 1516.pdf",561,https://app.transkribus.org/sites/noscemus/doc/608627?colId=88639,,False,physics; medicine
"Dobrzensky, Jacobus Johannes Wenceslaus - Nova et amoenior de admirando fontium genio philosophia. Ferrara 1659.pdf",163,https://app.transkribus.org/sites/noscemus/doc/845315?colId=88639,,Unknown,philosophy
"Dodoens, Rembert - De sphaera. Antwertp 1584.pdf",116,https://app.transkribus.org/sites/noscemus/doc/898561?colId=88639,,True,astronomy
"Dodoens, Rembert - Medicinalium observationum exempla rara. Cologne 1581.pdf",443,https://app.transkribus.org/sites/noscemus/doc/746741?colId=88639,,False,medicine
"Dominis, Marco Antonio de - De radiis visus et lucis in vitris perspectivis et iride tractatus. Venice 1611.pdf",91,https://app.transkribus.org/sites/noscemus/doc/718637?colId=88639,G3HPWX,True,geometry; optics; meteorology
"Dominis, Marco Antonio de - Euripus seu de fluxu et refluxu maris sententia. Rome 1624.pdf",95,https://app.transkribus.org/sites/noscemus/doc/743611?colId=88639,,Unknown,oceanography
"Dornau, Caspar - Felicitas saeculi. Beuthen 1617.pdf",19,https://app.transkribus.org/sites/noscemus/doc/890750?colId=88639,,Unknown,unknown
"Dorn, Gerhard - Dictionarium Theophrasti Paracelsi. Frankfurt am Main 1583.pdf",97,https://app.transkribus.org/sites/noscemus/doc/702833?colId=88639,,False,language
"Draud, Georg - Bibliotheca classica. Part. 1. Frankfurt am Main 1625.pdf",1303,https://app.transkribus.org/sites/noscemus/doc/770049?colId=88639,,Unknown,bibliography
"Draud, Georg - Bibliotheca classica. Part. 2. Frankfurt am Main 1625.pdf",475,https://app.transkribus.org/sites/noscemus/doc/770048?colId=88639,,Unknown,bibliography
"Drebbel, Cornelis Jacobszoon - De quinta essentia. Hamburg 1621.pdf",49,https://app.transkribus.org/sites/noscemus/doc/807332?colId=88639,,False,chemistry; alchemy
"Drechsler, Johann Gabriel & Rechtenbach, Polycarb Michael - De sermone brutorum. Erfurt 1706.pdf",30,https://app.transkribus.org/sites/noscemus/doc/663924?colId=88639,,Unknown,unknown
"Drechsler, Johann Gabriel & Rechtenbach, Polycarp Michael - De sermone brutorum. Leipzig 1673.pdf",24,https://app.transkribus.org/sites/noscemus/doc/692917?colId=88639,,Unknown,unknown
"Dubois, Jacques - Ordo et ordinis ordinis ratio in legendis Hippocratis et Galeni libris. Basel 1535.pdf",39,https://app.transkribus.org/sites/noscemus/doc/631388?colId=88639,,False,medicine
"Du Choul, Jean - De varia quercus historia. Lyon 1555.pdf",137,https://app.transkribus.org/sites/noscemus/doc/668496?colId=88639,,False,history
"Du Hamel, Jean-Baptiste - De meteoris et fossilibus. Paris 1660.pdf",353,https://app.transkribus.org/sites/noscemus/doc/607711?colId=88639,,False,meteorology; mineralogy
"Du Laurens, André - Historia anatomica. Paris 1600.pdf",670,https://app.transkribus.org/sites/noscemus/doc/725080?colId=88639,,False,anatomy; history
"Dürer, Albrecht & Camerarius, Joachim - De symmetria partium humanorum corporum. Paris 1557.pdf",262,https://app.transkribus.org/sites/noscemus/doc/823048?colId=88639,,True,geometry; physics
"Egloff von Staadthoff, Franz Carl Anton & Bacchettoni, Geronimo -Anthropologia anatomike. Innsbruck 1726.pdf",234,https://app.transkribus.org/sites/noscemus/doc/902199?colId=88639,,False,anatomy
"Ekerman, Petrus & Piscator, Andreas - Dissertatio academica de Cicerone mathematico. Uppsala 1759.pdf",12,https://app.transkribus.org/sites/noscemus/doc/662865?colId=88639,,True,mathematics
"Elsholtz, Johann Sigismund - De phosophoris quattuor observatio. Berlin 1676.pdf",19,https://app.transkribus.org/sites/noscemus/doc/835246?colId=88639,,False,chemistry
"Ent, George - Apologia pro circulatione sanguinis. London 1641.pdf",301,https://app.transkribus.org/sites/noscemus/doc/705022?colId=88639,,False,anatomy
Ephemerides Academiae Naturae Curiosorum. Decuria III. Nuremberg et al 1706.pdf,1286,https://app.transkribus.org/sites/noscemus/doc/928186?colId=88639,,True,astronomy; natural history
Ephemerides Societatis Meteorologicae Palatinae. Historia et observationes anni 1781. Mannheim 1783.pdf,439,https://app.transkribus.org/sites/noscemus/doc/808353?colId=88639,,True,astronomy; meteorology; history; scientific method
"Erasmus, Desiderius - Encomium artis medicae. Leuven 1518.pdf",49,https://app.transkribus.org/sites/noscemus/doc/635179?colId=88639,,False,medicine
"Estienne, Henri - Dictionarium medicum. Geneva 1564.pdf",647,https://app.transkribus.org/sites/noscemus/doc/718544?colId=88639,,False,medicine; language
"Euclides & Campanus, Johannes - Elementa. Venice 1482.pdf",286,https://app.transkribus.org/sites/noscemus/doc/911544?colId=88639,,True,geometry
"Euler, Leonhard - Dissertatio de magnete. Paris 1748.pdf",47,https://app.transkribus.org/sites/noscemus/doc/862099?colId=88639,,True,mathematics; physics
"Euler, Leonhard - Introductio in analysin infinitorum. Lausanne 1748.pdf",800,https://app.transkribus.org/sites/noscemus/doc/906120?colId=88639,,True,calculus
"Eustachi, Bartolomeo - Opuscula anatomica. Leiden 1707.pdf",544,https://app.transkribus.org/sites/noscemus/doc/657731?colId=88639,,False,anatomy
Examen poeticum duplex. London 1698.pdf,317,https://app.transkribus.org/sites/noscemus/doc/769230?colId=88639,,False,literature
"Fabricius ab Aquapendente, Hieronymus - De locutione et eius instrumentis. Frankfurt am Main 1624.pdf",85,https://app.transkribus.org/sites/noscemus/doc/902426?colId=88639,,False,anatomy
"Fabricius, Ernst Friedrich - Medicinae utriusque, Galenicae et Hermeticae, anatome philosophica. Hamburg 1626.pdf",28,https://app.transkribus.org/sites/noscemus/doc/797706?colId=88639,,False,medicine; anatomy; philosophy
"Fabricius, Johann - De maculis in sole observatis. Wittenberg 1611.pdf",53,https://app.transkribus.org/sites/noscemus/doc/607713?colId=88639,,Unknown,unknown
"Fabricius Montanus, Johannes - Poemata. Zurich 1551.pdf",84,https://app.transkribus.org/sites/noscemus/doc/608628?colId=88639,,False,literature
"Fabricius, Otto - Fauna Groenlandica. Copenhagen & Leipzig 1780.pdf",482,https://app.transkribus.org/sites/noscemus/doc/747385?colId=88639,,False,zoology
"Faenzi, Valerio - De montium origine. Venice 1561.pdf",41,https://app.transkribus.org/sites/noscemus/doc/599727?colId=88639,,False,mineralogy
"Fahrenheit, Daniel Gabriel - Experimenta et observationes de congelatione aquae in vacuo factae. London 1724.pdf",7,https://app.transkribus.org/sites/noscemus/doc/864507?colId=88639,,True,mechanics; scientific method
"Falloppio, Gabriele - De morbo Gallico. Venice 1574.pdf",275,https://app.transkribus.org/sites/noscemus/doc/608629?colId=88639,,False,medicine
"Falloppio, Gabriele - Observationes anatomicae. Paris 1562.pdf",371,https://app.transkribus.org/sites/noscemus/doc/731574?colId=88639,,False,anatomy; scientific method
"Falloppio, Gabriele - Observationes anatomicae. Paris. 1562.pdf",268,https://app.transkribus.org/sites/noscemus/doc/693073?colId=88639,,False,anatomy; scientific method
"Faulhaber Johannes & Remmelin, Johann - Mathematici tractatus duo. Frankfurt am Main 1610.pdf",76,https://app.transkribus.org/sites/noscemus/doc/918652?colId=88639,,True,mathematics
"Favaro, Antono (ed.) - Le opere di Galileo Galilei. Vol 1. Florence 1890.pdf",428,https://app.transkribus.org/sites/noscemus/doc/668497?colId=88639,,Unknown,unknown
"Fechner, Johann - De coloribus iuventus delecta disseret. Breslau 1675",12,https://app.transkribus.org/sites/noscemus/doc/695675?colId=88639,,Unknown,unknown
"Fechner, Johann - Deliciae et divitiae agrorum in Silesia. Bratislava 1643.pdf",35,https://app.transkribus.org/sites/noscemus/doc/702834?colId=88639,,Unknown,unknown
"Fehr, Johann Michael - Hiera picra. Leipzig 1668.pdf",217,https://app.transkribus.org/sites/noscemus/doc/897258?colId=88639,,Unknown,unknown
"Fermat, Pierre de - De linearum curvarum cum lineis rectis. Toulouse 1660.pdf",51,https://app.transkribus.org/sites/noscemus/doc/607714?colId=88639,,True,mathematics
"Fermat, Pierre de - Varia opera mathematica. Toulouse 1679.pdf",242,https://app.transkribus.org/sites/noscemus/doc/902274?colId=88639,,True,mathematics
"Fernel, Jean - De abditis rerum causis. Paris 1548.pdf",278,https://app.transkribus.org/sites/noscemus/doc/616639?colId=88639,,Unknown,unknown
"Fernel, Jean - De naturali parte medicinae. Paris 1542.pdf",365,https://app.transkribus.org/sites/noscemus/doc/608630?colId=88639,,False,physics; medicine
"Ferrari, Giovanni Battista - Flora seu de florum cultura. Rome 1633.pdf",543,https://app.transkribus.org/sites/noscemus/doc/767768?colId=88639,,False,botany
"Feuerlein, Jakob Wilhelm & Lochner, Christoph Moritz - Montes divinitatis testes. Altdorf 1729.pdf",25,https://app.transkribus.org/sites/noscemus/doc/695641?colId=88639,,False,theology
"Ficino, Marsilio - Opera omnia. Basel 1576.pdf",2089,https://app.transkribus.org/sites/noscemus/doc/841472?colId=88639,,Unknown,unknown
"Figulus, Carolus - Dialogus qui inscribitur botanomethodus. Cologne 1540.pdf",57,https://app.transkribus.org/sites/noscemus/doc/660343?colId=88639,,False,botany; literature
"Figulus, Carolus - ΙΧΘΥΟΛΟΓΙΑ (Ichthyologia) seu Dialogus de piscibus. Cologne 1540.pdf",21,https://app.transkribus.org/sites/noscemus/doc/635706?colId=88639,,False,zoology; literature
