classification_key,year,city,language,short_title,elements_books_group,elements_designation,base_content,designation_type
London_1789,1789,London,ENGLISH,Elements of Geometry,books_1_6_plus_solids,ELEMENTS OF   GEOMETRY,ELEMENTS OF   GEOMETRY,first-six-books Elements
Lund_1855,1855,Lund,SWEDISH,"Öfversättning och bearbetning af sjunde, åttonde, nionde och tionde böckerna af Euclids Elementer",selected_later_books,Euclids Elementer,"sjunde, åttonde, nionde och tionde böckerna af Euclids Elementer",Euclid + Elements designation
Lyon_1557,1557,Lyon,LATIN,In Euclidis Elementa geometrica demonstrationum libri sex,books_1_6,IN EVCLIDIS ELEMENTA GEOMETRICA Demonstrationum Libri sex | Euclidis Elementa Ge-ometrica Demonstrationum Libri sex,IN EVCLIDIS ELEMENTA GEOMETRICA Demonstrationum Libri sex | Euclidis Elementa Ge-ometrica Demonstrationum Libri sex,first-six-books Elements
Lyon_1603,1603,Lyon,LATIN,In geometriam Euclidis prioribus sex Elementorum libris comprehensam Demonstratio linealis Numeralis,books_1_6,GEOMETRIAM EVCLIDIS prioribus sex Elementorum,GEOMETRIAM EVCLIDIS prioribus sex Elementorum,first-six-books Elements
Lyon_1645,1645,Lyon,FRENCH,,near_complete_or_expanded,LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,Euclid + Elements designation
Lyon_1646,1646,Lyon,FRENCH,,near_complete_or_expanded,LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,Euclid + Elements designation
Lyon_1660,1660,Lyon,LATIN,,books_1_6_plus_solids,EVCLIDIS ELEMENTORVM Libri octo,EVCLIDIS ELEMENTORVM Libri octo,Euclid + Elements designation
Lyon_1669,1669,Lyon,LATIN,Synopsis geometrica,unknown_books,,SYNOPSIS GEOMETRICA,other designation
Lyon_1672,1672,Lyon,FRENCH,Huict Livres des Elements d’Euclide rendus plus faciles,books_1_6_plus_solids,HVICT LIVRES DES ELEMENTS DEVCLIDE,HVICT LIVRES DES ELEMENTS DEVCLIDE,Euclid + Elements designation
Lyon_1674,1674,Lyon,LATIN,,books_1_6_plus_solids,EV- CLIDIS LIBROS OCTO,EV- CLIDIS LIBROS OCTO,other designation
Lyon_1675,1675,Lyon,LATIN,,books_1_6_plus_solids,ELEMENTORUM EUCLIDIS LIBRI OCTO,ELEMENTORUM EUCLIDIS LIBRI OCTO,Euclid + Elements designation
Lyon_1690,1690,Lyon,LATIN,,near_complete_or_expanded,Euclidis Libros XIV,Euclidis Libros XIV,Euclid without Elements wording
Lübeck_and_Frankfurt_1699,1699,"Lübeck, Frankfurt",GERMAN,"Teutsch-Redender Euclides, oder Acht Bücher Von Denen Anfängen der Mess=Kunst: Auff eine neue und gantz leichte Art, zu Nutzen, allen Generalen, Ingeniern, Natur- und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern in Teutscher Sprach eingerichtet und bewiesen",books_1_6_plus_solids,Acht Bücher Von Denen An-fängen Der Meß-Künst,Acht Bücher Von Denen An-fängen Der Meß-Künst,Euclid without Elements wording
Madrid_1585,1585,Madrid,SPANISH,,unknown_books,"LA PERSPECTIVA, Y ESPECVLARIA DE Euclides","LA PERSPECTIVA, Y ESPECVLARIA DE Euclides",Euclid without Elements wording
Madrid_1665,1665,Madrid,SPANISH,,mixed_or_other_books,QVINTO Y SEPTIMO libros de Euclides,QVINTO Y SEPTIMO libros de Euclides,Euclid without Elements wording
Mainz_1611_1612,1611/1612,Mainz,LATIN,"Geometria Practica, Arithmetica Practica, Algebra",near_complete_or_expanded,Euclidis Ele-menta Geometrica,Euclidis Ele-menta Geometrica,Euclid + geometry designation
Messina_1558,1558,Messina,LATIN,,unknown_books,,EV- CLIDIS PHAENOMENA,Euclidean corpus beyond Elements
Milan_1671,1671,Milan,ITALIAN,,books_1_6,I PRIMI SEI LIBRI D’EVCLIDE,I PRIMI SEI LIBRI D’EVCLIDE,first-six-books Elements
Milan_1702,1702,Milan,ITALIAN,,books_1_6,I PRIMI SEI LIBRI D’EVCLIDE,I PRIMI SEI LIBRI D’EVCLIDE,first-six-books Elements
Naples_1679,1679,Naples,LATIN,,books_1_6,EUCLIDIS ELEMENTORUM LIBRI SEX,EUCLIDIS ELEMENTORUM LIBRI SEX,first-six-books Elements
Naples_1701,1701,Naples,LATIN,,near_complete_or_expanded,ELEMENTA EUCLIDIS,ELEMENTA EUCLIDIS,Euclid + Elements designation
Naples_1702,1702,Naples,LATIN,,books_1_6,EVCLIDIS ELEMENTA,EVCLIDIS ELEMENTA,Euclid + Elements designation
Naples_1810,1810,Naples,ITALIAN,I primi sei libri degli elementi di Euclide,books_1_6,I PRIMI SEI LIBRI DEGLI ELEMENTI DI EUCLIDE | I primi sei libri degli elementi di Euclide,I PRIMI SEI LIBRI DEGLI ELEMENTI DI EUCLIDE | I primi sei libri degli elementi di Euclide,first-six-books Elements
Nuremberg_1625,1625,Nuremberg,GERMAN,Euclidis elementa practica oder Ausszug aller Problematum und Handarbeiten auss den 15 Büchern Euclidis,near_complete_or_expanded,EUCLIDIS ELEMENTA PRACTICA,EUCLIDIS ELEMENTA PRACTICA,Euclid + Elements designation
Nuremberg_1821,1821,Nuremberg,GERMAN,Mathematisch-critische Bearbeitung des ersten Buchs der Elemente Euclid’s,selected_later_books,ersten Buchs der Elemente Euclid’s,des ersten Buchs der Elemente Euclid’s,Euclid + Elements designation
Osnabrück_1676,1676,Osnabrück,LATIN,,near_complete_or_expanded,ELEMENTORVM EUCLIDIS Libri XV,ELEMENTORVM EUCLIDIS Libri XV,Euclid + Elements designation
Oxford_1685,1685,Oxford,ENGLISH,,books_1_6_plus_solids,THE ELEMENTS OF EUCLID,THE ELEMENTS OF EUCLID,Euclid + Elements designation
Oxford_1701,1701,Oxford,LATIN,"Euclidis elementorum libri priores sex, item undecimus et duodecimus ex versione latina Federici Commandini in usum juventutis academicae",books_1_6_plus_solids,"EUCLIDIS ELEMENTORUM LIBRI PRIORES SEX, ITEM UNDECIMUS & DUODECIMUS","EUCLIDIS ELEMENTORUM LIBRI PRIORES SEX, ITEM UNDECIMUS & DUODECIMUS",first-six-books Elements
Oxford_1703,1703,Oxford,"LATIN, GREEK","Eukleidou Ta Swzomena, Euclidis quae supersunt omnia",near_complete_or_expanded,EUCLIDIS,EUCLIDIS,Euclid without Elements wording
Oxford_1705,1705,Oxford,ENGLISH,"The English Euclide, being The First Six Elements of Geometry, translated out of the Greek",books_1_6,"THE ENGLISH EUCLIDE, BEING The First SIX ELEMENTS OF GEOMETRY | first six Elements of geometry",THE ENGLISH EUCLIDE | The English Euclide,first-six-books Elements
Oxford_London_1700,1700,"Oxford, London",ENGLISH,,books_1_6_plus_solids,THE ELEMENTS OF EUCLID,THE ELEMENTS OF EUCLID,Euclid + Elements designation
Padua_1694,1694,Padua,LATIN,,books_1_6_plus_solids,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,plane-plus-solid Elements
Paris_1500,1500,Paris,LATIN,,unknown_books,Geometria Euclidis,Geometria Euclidis,Euclid + geometry designation
Paris_1507,1507,Paris,LATIN,,unknown_books,Geometria Euclidis Megarensis,Geometria Euclidis Megarensis,Euclid + geometry designation
Paris_1511,1511,Paris,LATIN,,unknown_books,Geometria Euclidis Megarensis,Geometria Euclidis Megarensis,Euclid + geometry designation
Paris_1516,1516,Paris,LATIN,Euclidis Megarensis geometricorum elementorum libri XV,near_complete_or_expanded,EVCLIDIS Megarensis Geometricorum el-ementorum libri XV,EVCLIDIS Megarensis Geometricorum el-ementorum libri XV,Euclid + Elements designation
Paris_1516a,1516,Paris,LATIN,,unknown_books,Geometria Eu-clidis Megarensis,Geometria Eu-clidis Megarensis,geometry-only designation
Paris_1521,1521,Paris,LATIN,"Textus de Sphaera, introductoria additione commentarioque ad utilitatem studentium philosophiae Parisiensis Academiae illustratus, cum compositione annuli astronomici et geometria",unknown_books,Geometria Euclidis Megarensis,Geometria Euclidis Megarensis,Euclid + geometry designation
Paris_1527,1527,Paris,LATIN,,unknown_books,Geometria Euclidis Megarensis,Geometria Euclidis Megarensis,Euclid + geometry designation
Paris_1536,1536,Paris,"LATIN, GREEK",In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes,books_1_6,SEX PRIORES LIBROS geometricorum elementorum Euclidis Megarensis,SEX PRIORES LIBROS geometricorum elementorum Euclidis Megarensis,first-six-books Elements
Paris_1538,1538,Paris,LATIN,,unknown_books,Geometria Euclidis Megarensis,Geometria Euclidis Megarensis,Euclid + geometry designation
Paris_1544,1544,Paris,LATIN,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes,books_1_6,Ge-ometricorum elementorum Euclidis Megarensis | sex priores libros Geometricorum elementorum Euclidis Megarensis,Ge-ometricorum elementorum Euclidis Megarensis | In sex priores libros Geometricorum elementorum Euclidis Megarensis,first-six-books Elements
Paris_1545,1545,Paris,LATIN,Elementa mathematica,near_complete_or_expanded,,,Elements language without Euclid
Paris_1549,1549,Paris,LATIN,Euclides,unknown_books,EVCLIDES | EVCLIDIS elementorum libri QVINDECIM,EVCLIDES | EVCLIDIS elementorum libri QVINDECIM,selected/later-book Elements
Paris_1551a,1551,Paris,LATIN,Euclidis elementorum liber decimus,selected_later_books,Euclidis elementorum LIBER DECIMVS,Euclidis elementorum LIBER DECIMVS,selected/later-book Elements
Paris_1552,1552,Paris,LATIN,,selected_later_books,Euclidis elementorum LIBER DECIMVS,Euclidis elementorum LIBER DECIMVS,selected/later-book Elements
Paris_1557,1557,Paris,LATIN,"Euclidis Elementorum libri XV, Graecè et Latinè",near_complete_or_expanded,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS ELEMENTORVM LIBRI XV,Euclid + Elements designation
Paris_1557a,1557,Paris,LATIN,,unknown_books,,Euclidis Optica & Catoptrica,Euclidean corpus beyond Elements
Paris_1557b,1557,Paris,"GREEK, LATIN",,unknown_books,ΕΥΚΛΕΙΔΟΥ ΕἰΣΑΓΩΓΗ ἉΡΜΟΝΙΚΗ | Euclidis Rudimenta MUSICÆ,ΕΥΚΛΕΙΔΟΥ ΕἰΣΑΓΩΓΗ ἉΡΜΟΝΙΚΗ | Euclidis Rudimenta MUSICÆ,Euclid without Elements wording
Paris_1558,1558,Paris,LATIN,,near_complete_or_expanded_enunciations,EVCLIDIS ELEMENTORVM  LIBRI XV,EVCLIDIS ELEMENTORVM  LIBRI XV,Euclid + Elements designation
Paris_1564,1564,Paris,FRENCH,"Les six premiers livres des Éléments d’Euclide, traduits et commentés",books_1_6,LES SIX PREMIERS LIVRES DES ELEMENTS D’EV- CLIDE,LES SIX PREMIERS LIVRES DES ELEMENTS D’EV- CLIDE,first-six-books Elements
Paris_1565,1565,Paris,FRENCH,"Les septième, huitième et neuvième livres des Éléments d’Euclide",selected_later_books,"LES SEPTIEME, HVICTIEME ET NEVFIEME, LIVRES DES ELEMENS D’EVCLIDE | Liure d’Euclide","LES SEPTIEME, HVICTIEME ET NEVFIEME, LIVRES DES ELEMENS D’EVCLIDE | Liure d’Euclide",Euclid without Elements wording
Paris_1566,1566,Paris,LATIN,Euclidis Megarensis mathematici clarissimi elementa geometrica libri XV,near_complete_or_expanded,"EVCLIDIS MEGARENSIS MATHEMATICI CLARISSIMI ELEMENTA GEOMETRICA, LIBRIS XV","ELEMENTA GEOMETRICA, LIBRIS XV",plane-plus-solid Elements
Paris_1566a,1566,Paris,FRENCH,Les six premiers livres des Éléments d’Euclide,unknown_books,LES SIX PREMIERS LIVRES DES ELE- ments d’Euclide,LES SIX PREMIERS LIVRES DES ELE- ments d’Euclide,first-six-books Elements
Paris_1566b,1566,Paris,FRENCH,Le livre de la musique,unknown_books,LE Liure de la Mu- sique d'Euclide,LE Liure de la Mu- sique d'Euclide,Euclid without Elements wording
Paris_1573,1573,Paris,LATIN,,near_complete_or_expanded_enunciations,EVCLIDIS ELEMENTORVM  LIBRI XV,EVCLIDIS ELEMENTORVM  LIBRI XV,Euclid + Elements designation
Paris_1578,1578,Paris,LATIN,Elementa libris XV. ad Germanam geometriae intelligentiam è diversis lapsibus temporis iniuria contractis restituta,near_complete_or_expanded,"EVCLIDIS MEGARENSIS MATHEMATICI CLARISSIMI ELEMENTA, LIBRIS XV","EVCLIDIS MEGARENSIS MATHEMATICI CLARISSIMI ELEMENTA, LIBRIS XV",plane-plus-solid Elements
Paris_1598a,1598,Paris,FRENCH,Les six premiers livres des Éléments d’Euclide,books_1_6,LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE,first-six-books Elements
Paris_1604,1604,Paris,LATIN,,unknown_books,EVCLIDIS OPTICA ET CATOPTRICA,EVCLIDIS OPTICA ET CATOPTRICA,Euclidean corpus beyond Elements
Paris_1605,1605,Paris,FRENCH,Les nevf premiers livres des elemens,partial_from_book_1,LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE,LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE,first-six-books Elements
Paris_1609,1609,Paris,FRENCH,"Les Elémens de la géométrie d'Euclides, traduicts et restitués à leur ancienne bréveté, selon l'ordre de Théon, ausquels ont esté adjoustez les quatorze et quinziesme d'Ipsicles, le tout par Dounot,",near_complete_or_expanded,LES ELEMENS DE LA GEOMETRIE D’EVCLIDES MEGARIEN,LES ELEMENS DE LA GEOMETRIE D’EVCLIDES MEGARIEN,Euclid + geometry designation
Paris_1610,1610,Paris,FRENCH,Les éléments de la géométrie d’Euclide Mégarien,near_complete_or_expanded,LES ELEMENS DE LA GEOMETRIE D’EVCLIDES MEGARIEN | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES,LES ELEMENS DE LA GEOMETRIE D’EVCLIDES MEGARIEN | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES,Euclid + geometry designation
Paris_1612,1612,Paris,LATIN,Euclidis elementorum decimum,selected_later_books,EVCLIDIS ELEMENTVM DECIMVM,EVCLIDIS ELEMENTVM DECIMVM,selected/later-book Elements
Paris_1615,1615,Paris,FRENCH,"Les quinze livres des Éléments d’Euclide, traduits du latin en français",near_complete_or_expanded,LES QVINZE LIVRES DES ELEMENTS D’EVCLIDE | LES QVINZE LIVRES DES ELEMENS D’EVCLIDE | QVINZE LIVRES DES ELEMENS D’EVCLIDE,LES QVINZE LIVRES DES ELEMENTS D’EVCLIDE | LES QVINZE LIVRES DES ELEMENS D’EVCLIDE,Euclid + Elements designation
Paris_1622,1622,Paris,"FRENCH, LATIN",,near_complete_or_expanded,QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,Euclid + Elements designation
Paris_1623,1623,Paris,FRENCH,,near_complete_or_expanded,Les Qvinze livres des elements d’Evclide,Les Qvinze livres des elements d’Evclide,Euclid + Elements designation
Paris_1624,1624,Paris,FRENCH,,selected_later_books,,,missing/unclear designation
Paris_1625,1625,Paris,"GREEK, LATIN",,unknown_books,EVCLIDIS DATA,EVCLIDIS DATA,Euclidean corpus beyond Elements
Paris_1626a,1626,Paris,LATIN,,near_complete_or_expanded,ELEMENTORVM EVCLIDIS LIBRI XVI,ELEMENTORVM EVCLIDIS LIBRI XVI,Euclid + Elements designation
Paris_1626b,1626,Paris,LATIN,,unknown_books,,"Theodosii, Menelai et Mavrolyci sphærica",other designation
Paris_1629,1629,Paris,FRENCH,,partial_from_book_1,LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE,LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE,first-six-books Elements
Paris_1630,1630,Paris,FRENCH,"Les six premiers livres des Elemens d'Euclide, traduits de latin en françois, par D. Henrion",books_1_6,LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE,first-six-books Elements
Paris_1632,1632,Paris,FRENCH,Les quinze livres des éléments géométriques d'Euclide,near_complete_or_expanded,LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,Euclid + Elements designation
Paris_1632a,1632,Paris,FRENCH,,near_complete_or_expanded,LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,Euclid + Elements designation
Paris_1634,1634,Paris,"FRENCH, LATIN",Cursus mathematicus,near_complete_or_expanded,,,other designation
Paris_1639,1639,Paris,FRENCH,"Les Six premiers livres des Éléments d'Euclide, démonstrez par notes d'une méthode très briève et intelligible,... par Pierre Hérigone,...",books_1_6,LES SIX PREMIERS LIVRES DES ELEMENTS D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENTS D’EVCLIDE,first-six-books Elements
Paris_1640,1640,Paris,FRENCH,,unknown_books,LE DIZIEME LIVRE D’EVCLIDE,LE DIZIEME LIVRE D’EVCLIDE,Euclid without Elements wording
Paris_1643,1643,Paris,FRENCH,,unknown_books,Elémens d’Euclide,Elémens d’Euclide,Euclid without Elements wording
Paris_1643b,1643,Paris,LATIN,,books_1_6,EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM LIBRI,EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM LIBRI,first-six-books Elements
Paris_1644,1644,Paris,FRENCH,Euclides: Les six premiers livres des Éléments d'Euclide,books_1_6,LES SIX PREMIERS LIVRES DES ELEMENTS D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENTS D’EVCLIDE,first-six-books Elements
Paris_1644b,1644,Paris,"FRENCH, LATIN","Cursus mathematicus noua, breui, et clara methodo demonstratus",near_complete_or_expanded,,,other designation
Paris_1644c,1644,Paris,LATIN,,near_complete_or_expanded_enunciations,,,missing/unclear designation
Paris_1652,1652,Paris,FRENCH,,unknown_books,,,missing/unclear designation
Paris_1654,1654,Paris,LATIN,Euclidis elementorum geometricorum libri,books_1_6,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI Sex,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI Sex,first-six-books Elements
Paris_1654a,1654,Paris,FRENCH,Les Elements d’Euclide,books_1_6,ELEMENTS D’EVCLIDE,LES ELEMENTS D’EVCLIDE,Euclid + Elements designation
Paris_1667,1667,Paris,FRENCH,Nouveaux Élémens de géométrie,near_complete_or_expanded,NOVVEAVX ELEMENS DE GEOMETRIE | NOUVEAUX ELEMENS DE GEOMETRIE,NOVVEAVX ELEMENS DE GEOMETRIE | NOUVEAUX ELEMENS DE GEOMETRIE,geometry-only designation
Paris_1675,1675,Paris,FRENCH,"Elemens des mathematiques, ou principes generaux de toutes les sciences qui ont les grandeurs pour objet",partial_from_book_1,,ELEMENS DES MATHEMATIQUES,other designation
Paris_1677a,1677,Paris,FRENCH,,books_1_6_plus_solids,LES ELEMENS D’EVCLIDE,LES ELEMENS D’EVCLIDE,Euclid without Elements wording
Paris_1682,1682,Paris,FRENCH,Les Elemens d'Euclide expliqués par le P. Claude François Milliet Dechalles,books_1_6_plus_solids,LES ELEMENS D’EUCLIDE,LES ELEMENS D’EUCLIDE,Euclid without Elements wording
Paris_1682a,1682,Paris,FRENCH,"Les six premiers Livres des Elemens d’Euclide, in Ouvres posthumes",books_1_6,,,first-six-books Elements
Paris_1683,1683,Paris,FRENCH,,books_1_6_plus_solids,LES ELEMENS D’EUCLIDE,LES ELEMENS D’EUCLIDE,Euclid without Elements wording
Paris_1685,1685,Paris,FRENCH,Les elemens de geometrie,partial_from_book_1,LES ELEMENS DE GEOMETRIE OU DE LA MESURE DU CORPS,LES ELEMENS DE GEOMETRIE OU DE LA MESURE DU CORPS,first-six-books Elements
Paris_1690,1690,Paris,FRENCH,,books_1_6_plus_solids,LES ELEMENS D’EUCLIDE,LES ELEMENS D’EUCLIDE,Euclid without Elements wording
Paris_1693,1693,Paris,FRENCH,Cours de mathematique,books_1_6_plus_solids,les Elemens d’Euclide,les Elemens d’Euclide,Euclid without Elements wording
Paris_1697,1697,Paris,"FRENCH, LATIN",,books_1_6_plus_solids,les Elemens d’Euclide,les Elemens d’Euclide,Euclid without Elements wording
Paris_1739,1739,Paris,FRENCH,La science des géomètres,unknown_books,Élemens d’Euclide,Élemens d’Euclide,Euclid without Elements wording
Paris_1814,1814,Paris,"LATIN, FRENCH, GREEK",Les Oevres d'Euclide,partial_from_book_1,Les Oevres  d'Euclide,Les Oevres  d'Euclide,Euclid without Elements wording
Pesaro_1572,1572,Pesaro,LATIN,Euclidis elementorum libri XV una cum scholiis antiquis,near_complete_or_expanded,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS ELEMENTORVM LIBRI XV,Euclid + Elements designation
Pesaro_1619,1619,Pesaro,LATIN,,near_complete_or_expanded,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS ELEMENTORVM LIBRI XV,Euclid + Elements designation
QX7XH4,1756,Glasgow,ENGLISH,"The Elements of Euclid, viz. the first Six Books together with the Eleventh and Twelfth. In this Edition, the Errors, by which Theon, or others, have long ago Vitiated these Books, are Corrected, and some of Euclid’s Demonstrations are Restored",books_1_6_plus_solids,"THE ELEMENTS OF EUCLID, VIZ. THE FIRST SIX BOOKS, TOGETHER WITH THE ELEVENTH AND TWELFTH",THE ELEMENTS OF EUCLID,first-six-books Elements
RH6KEE,1618,Leiden,FRENCH,La castrametation,unknown_books,,,other designation
RSEIPO,1731,Florence,ITALIAN,Elementi geometrici piani e solidi di Euclide posti brevemente in volgare,books_1_6_plus_solids,"ELEMENTI GEOMETRICI PIANI, E SOLIDI DI EUCLIDE","ELEMENTI GEOMETRICI PIANI, E SOLIDI DI EUCLIDE",plane-plus-solid Elements
Rome_1545,1545,Rome,"GREEK, LATIN",ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ιε. Euclidis Elementorum libri XV,unknown_books,ΕΥ’ΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ιε | EVCLIDIS ELEMENTORVM LIBRI XV,ΕΥ’ΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ιε | EVCLIDIS ELEMENTORVM LIBRI XV,Euclid + Elements designation
Rome_1545a,1545,Rome,LATIN,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ιε. Euclidis Elementorum libri XV,near_complete_or_expanded,I QVINDICI LIBRI DEGLI ELEMENTI DI EVCLIDE,I QVINDICI LIBRI DEGLI ELEMENTI DI EVCLIDE,Euclid + Elements designation
Rome_1589,1589,Rome,LATIN,Euclidis elementorum libri XV,near_complete_or_expanded,EVCLIDIS ELEMENTORVM LIBRI XV | EVCLIDIS POSTERIORES Libri sex a x. ad xv | EVCLIDIS ELEMENTORVM LIB. XV | EVCLIDIS POSTERIORES LIB. IX,EVCLIDIS ELEMENTORVM LIBRI XV | EVCLIDIS POSTERIORES Libri sex a x. ad xv | EVCLIDIS ELEMENTORVM LIB. XV | EVCLIDIS POSTERIORES LIB. IX,first-six-books Elements
Rome_1591,1591,Rome,LATIN,"Phaenomena post Zamberti, & Maurolyci editionem, nunc tandem de Vaticana. bibliotheca deprompta. Scholiis antiquis: & figuris optimis illustrata: & de Graeca lingua in Latinam conversa. A Iosepho. Auria. Neapolitano. His additae sunt Maurolyci breves aliquot annotationes",unknown_books,EVCLIDIS PHAENOMENA,EVCLIDIS PHAENOMENA,Euclidean corpus beyond Elements
Rome_1593,1593,Rome,LATIN,,unknown_books,,,missing/unclear designation
Rome_1594,1594,Rome,"ARABIC, LATIN",Euclidis elementorum geometricorum libri tredecim ex traditione doctissimi Nasiridini Tusini,books_1_13,EVCLIDIS ELEMENTORVM GEOMETRICORVM,EVCLIDIS ELEMENTORVM GEOMETRICORVM Libri Tre-decim,selected/later-book Elements
Rome_1603,1603,Rome,LATIN,,near_complete_or_expanded,EVCLIDIS ELEMENTORVM LIBRI XV | EVCLIDIS POSTERIORES LIBRI IX,EVCLIDIS ELEMENTORVM LIBRI XV | EVCLIDIS POSTERIORES LIBRI IX,selected/later-book Elements
Rome_1609,1609,Rome,LATIN,,unknown_books,EVCLIDIS PHAENOMENA,EVCLIDIS PHAENOMENA,Euclidean corpus beyond Elements
Rome_1629,1629,Rome,LATIN,,books_1_6,EVCLIDIS Sex primi ELEMENTORVM GEOMETRICORVM,EVCLIDIS Sex primi ELEMENTORVM GEOMETRICORVM,first-six-books Elements
Rome_1655,1655,Rome,LATIN,,books_1_6,EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM,EVCLIDIS SEX PRIMI ELEMENTORVM GEOMETRI- CORVM Libri cum parte Vndecimi,first-six-books Elements
Rome_1679,1679,Rome,LATIN,"Euclides restitutus, sive prisca geometriae elementa",partial_from_book_1,PRISCA GEOMETRIAE ELEMENTA | EVCLIDES RESTITUTUS Denuo PRISCAE GEOMETRIAE ELEMENTA,PRISCA GEOMETRIAE ELEMENTA | EVCLIDES RESTITUTUS Denuo PRISCAE GEOMETRIAE ELEMENTA,Euclid + Elements designation
Rome_1680,1680,Rome,ITALIAN,"Euclide Restituto, overo gli antichi elementi geometrici ristaurati e facilitati",near_complete_or_expanded,GLI ANTICHI ELEMENTI GEOMETRICI,GLI ANTICHI ELEMENTI GEOMETRICI,Euclidean corpus beyond Elements
Rome_1695,1695,Rome,LATIN,,books_1_13,EVCLIDES RESTITUTUS SIVE PRISCA GEOMETRIÆ ELEMENTA,EVCLIDES RESTITUTUS SIVE PRISCA GEOMETRIÆ ELEMENTA,Euclid + Elements designation
Rotterdam_1632,1632,Rotterdam,DUTCH,,books_1_6,De ses eerste Boecken EVCLIDIS,De ses eerste Boecken EVCLIDIS,first-six-books Elements
Rotterdam_1647,1647,Rotterdam,DUTCH,,books_1_6,De ses eerste Boecken EUCLIDIS,De ses eerste Boecken EUCLIDIS,first-six-books Elements
Rotterdam_1661,1661,Rotterdam,DUTCH,,books_1_6,De ses eerste Boecken EUCLIDIS,De ses eerste Boecken EUCLIDIS,first-six-books Elements
Rotterdam_1681,1681,Rotterdam,DUTCH,,books_1_6,De ses eerste Boecken EUCLIDIS,De ses eerste Boecken EUCLIDIS,first-six-books Elements
Rouen_1649,1649,Rouen,FRENCH,"Les quinze livres des éléments, , traduicts de latin en françois par D. Henrion",near_complete_or_expanded,LES QVINZE LIVRES DES ELEMENTS D’EVCLIDE,LES QVINZE LIVRES DES ELEMENTS D’EVCLIDE,Euclid + Elements designation
Rouen_1676,1676,Rouen,FRENCH,,near_complete_or_expanded,LES QUINZE LIVRES DES ELEMENTS D’EUCLIDE,LES QUINZE LIVRES DES ELEMENTS D’EUCLIDE,Euclid + Elements designation
Rouen_and_Paris_1677,1677,"Rouen, Paris",FRENCH,,near_complete_or_expanded,Les quinze livres des elemens geometriques d’Euclide,Les quinze livres des elemens geometriques d’Euclide,Euclid without Elements wording
Rouen_and_Paris_1683,1683,"Rouen, Paris",FRENCH,,near_complete_or_expanded,LES QUINZE LIVRES DES ELEMENS GEOMETRIQUES D’EUCLIDE,LES QUINZE LIVRES DES ELEMENS GEOMETRIQUES D’EUCLIDE,Euclid without Elements wording
