edition_id,language,year,city,Architecture,Arithmetic,Astronomy,Cartography,Commercial Mathematics,Construction,Cosmography,Geography,Gnomonics & Horology,Instrument Construction,Instrument Use,Mechanics,Military Engineering,Music Theory,Navigation,Perspective,Practical Geometry,Surveying,Theoretical Mathematics,Trigonometry,primary_classes,secondary_classes,unknown_classes,primary_count,secondary_count,unknown_count
bib-223,GERMAN,1572,Frankfurt,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,Arithmetic | Commercial Mathematics,Instrument Construction | Music Theory | Practical Geometry,,2,3,0
bib-225,GERMAN,1518,Augsburg,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,,,1,0,0
bib-23,ITALIAN,1556,Venice,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,Arithmetic,Theoretical Mathematics,,1,1,0
bib-239,GERMAN,1521,Nuremberg,unrelated,unknown,unknown,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,secondary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Commercial Mathematics | Practical Geometry,Music Theory,Arithmetic | Astronomy | Instrument Use,2,1,3
bib-24,LATIN,1575,Bordeaux,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,Theoretical Mathematics,,,1,0,0
bib-247,ITALIAN,1484,Venice,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic | Commercial Mathematics,,,2,0,0
bib-248,ITALIAN,1491/1492,Florence,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,,,1,0,0
bib-25,FRENCH,1577,Bordeaux,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,Practical Geometry | Surveying,,Instrument Use,2,0,1
bib-251,LATIN,1560,Cologne,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Astronomy,,,1,0,0
bib-252,LATIN,1570,,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,Astronomy,,Instrument Use | Practical Geometry,1,0,2
bib-253,LATIN,1583,Lyon,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,Astronomy,,Practical Geometry,1,0,1
bib-255,LATIN,1574,Cologne,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,Cosmography,Navigation,,1,1,0
bib-258,DUTCH,1585,Leiden,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,,,1,0,0
bib-259,LATIN,1591,Tours,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unknown,unrelated,primary,unrelated,Arithmetic | Music Theory | Theoretical Mathematics,,Practical Geometry,3,0,1
bib-26,ITALIAN,1568,Venice,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,,,,0,0,0
bib-262,FRENCH,1582,Antwerp,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,,,1,0,0
bib-264,FRENCH,1573,Antwerp,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,primary,Arithmetic | Commercial Mathematics | Trigonometry,Practical Geometry,,3,1,0
bib-266,FRENCH,1563,Antwerp,unrelated,primary,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,Commercial Mathematics,,1,1,0
bib-27,ITALIAN,1565,Venice,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,Architecture,,Instrument Use | Practical Geometry,1,0,2
bib-276,LATIN,1560,Padua,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated,Practical Geometry | Theoretical Mathematics,,,2,0,0
bib-277,GERMAN,1514,Augsburg,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,Arithmetic | Commercial Mathematics,,Practical Geometry,2,0,1
bib-278,GERMAN,1527,Augsburg,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic | Commercial Mathematics,,,2,0,0
bib-28,FRENCH,1576,Paris,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,primary,unknown,unrelated,unrelated,secondary,Perspective,Trigonometry,Architecture | Instrument Use | Practical Geometry,1,1,3
bib-280,FRENCH,1600,Paris,secondary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,primary,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,Construction | Military Engineering,Architecture | Practical Geometry,Instrument Use,2,2,1
bib-282,FRENCH,1563,Paris,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,Arithmetic,Practical Geometry,,1,1,0
bib-283,ENGLISH,1603,London,unrelated,primary,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,Commercial Mathematics,,1,1,0
bib-285,ENGLISH,1564,London,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,,,1,0,0
bib-29,FRENCH,1582,Paris,primary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Architecture | Construction,,,2,0,0
bib-33,ITALIAN,1564,Venice,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,primary,unrelated,unrelated,Perspective | Practical Geometry | Surveying,,,3,0,0
bib-35,LATIN,1585,Turin,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,,,Instrument Use | Practical Geometry,0,0,2
bib-39,ITALIAN,1564,Venice,secondary,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,Military Engineering,Architecture | Construction,Practical Geometry,1,2,1
bib-4,FRENCH,1564,Paris,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Gnomonics & Horology | Practical Geometry,Instrument Use,,2,1,0
bib-40,GERMAN,1596,Delft,unrelated,secondary,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,primary,Practical Geometry | Trigonometry,Arithmetic | Commercial Mathematics | Surveying,Instrument Use,2,3,1
bib-41,LATIN,1558,Venice,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,unrelated,Astronomy | Perspective,Practical Geometry,,2,1,0
bib-42,LATIN,1570,Pesaro,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated,Practical Geometry | Theoretical Mathematics,,,2,0,0
bib-44,FRENCH,1567,Paris,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,Architecture,,Practical Geometry,1,0,1
bib-45,ITALIAN,1587,Venice,unrelated,primary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Arithmetic | Cosmography | Gnomonics & Horology | Practical Geometry,Instrument Use,,4,1,0
bib-46,FRENCH,1555,Paris,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,Instrument Use | Practical Geometry | Surveying,Cartography,,3,1,0
bib-47,FRENCH,1561,Paris,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,Cartography | Instrument Use | Practical Geometry | Surveying,,,4,0,0
bib-5,FRENCH,1585,Paris,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Instrument Use | Practical Geometry,,,2,0,0
bib-52,LATIN,1592,Venice,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Instrument Use | Practical Geometry,Architecture,,2,1,0
bib-59,LATIN,1594,Leiden,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Practical Geometry,,,1,0,0
bib-64,LATIN,1579,Paris,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated,Practical Geometry | Theoretical Mathematics,,,2,0,0
bib-67,LATIN,1595,Paris,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Practical Geometry,,Architecture | Instrument Use,1,0,2
bib-7,ENGLISH,1571,London,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,secondary,primary,secondary,secondary,unrelated,Practical Geometry,Cartography | Instrument Use | Perspective | Surveying | Theoretical Mathematics,,1,5,0
bib-71,LATIN,1567,Venice,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,Architecture,Gnomonics & Horology | Mechanics | Practical Geometry,,1,3,0
bib-76,LATIN,1598,Venice,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,secondary,unrelated,Cosmography,Arithmetic | Practical Geometry | Theoretical Mathematics,Instrument Use,1,3,1
bib-8,GERMAN,1525,Nuremberg,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Practical Geometry,Instrument Use,,1,1,0
bib-82,LATIN,1554,Lyon,unrelated,unrelated,unrelated,unrelated,secondary,secondary,unrelated,unrelated,unrelated,unrelated,secondary,secondary,secondary,unrelated,unrelated,unrelated,primary,unrelated,secondary,unrelated,Practical Geometry,Commercial Mathematics | Construction | Instrument Use | Mechanics | Military Engineering | Theoretical Mathematics,,1,6,0
bib-83,LATIN,1559,Lyon,unrelated,unrelated,unrelated,unrelated,secondary,secondary,unrelated,unrelated,unrelated,unrelated,unknown,secondary,secondary,unrelated,unrelated,unrelated,primary,secondary,unrelated,unrelated,Practical Geometry,Commercial Mathematics | Construction | Mechanics | Military Engineering | Surveying,Instrument Use,1,5,1
bib-87,ITALIAN,1584,Brescia,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,Practical Geometry | Surveying,,Instrument Use,2,0,1
bib-9,LATIN,1544,Strasbourg,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,secondary,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Practical Geometry,Instrument Use | Mechanics,,1,2,0
bib-90,FRENCH,1585,Paris,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Instrument Use | Practical Geometry,,,2,0,0
bib-91,ITALIAN,1563,Venice,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,primary,unrelated,Arithmetic | Practical Geometry | Theoretical Mathematics,,,3,0,0
bib-93,ITALIAN,1603,Venice,unrelated,primary,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,Arithmetic | Commercial Mathematics | Practical Geometry | Surveying,,,4,0,0
ustc-16,FRENCH,1604,Paris,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated,primary,unrelated,secondary,unrelated,unrelated,unrelated,Astronomy | Instrument Construction | Instrument Use | Navigation,Practical Geometry,,4,1,0
ustc-29,FRENCH,1602,Paris,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Practical Geometry,Instrument Use,Architecture,1,1,1
ustc-32,FRENCH,1578,Paris,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,Arithmetic,,,1,0,0
ustc-44,FRENCH,1555,Paris,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unknown,unrelated,unrelated,unrelated,unrelated,unrelated,primary,unrelated,unrelated,unrelated,Practical Geometry,,Instrument Use,1,0,1
