"Page/Key","Edition Details","Feature Name","Feature Description","Feature Revision","Value"
"bib-23","1556, Venice - LA SECONDA PARTE
DEL GENERAL TRATTATO DI
NUMERI, ET MISVRE DI NICOLO TARTAGLIA,

NELLA QVALE IN VNDICI LIBRI SI NOTIFICA LA
P...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::secondary, Trigonometry::unrelated"
"VWMZ7L","1557, Paris - De arithmetica, musica, geometria et Proclus de sphaera","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::primary, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::primary, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unknown, Surveying::unrelated, Theoretical Mathematics::primary, Trigonometry::unrelated"
"4TJF1A","1557, Paris - Le second livre de l'arithmetique","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::primary, Trigonometry::unrelated"
"6AMYTJ","1557, Paris - Le troysiesme livre de l'arithmetique","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::secondary, Trigonometry::unrelated"
"bib-147","1557, Venice - Due dialoghi di m. Iacomo de' Lanteri da Paratico bresciano; ne i quali s'introduce messer Girolamo Catanio novarese & messer...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::primary, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::primary, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-123","1558, Lyon - Due breui e facili trattati, il primo d'arithmetica, l'altro de geometria, ne i quali si contengono alcune cose nuoue piaceuo...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unknown, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-41","1558, Venice - PTOLEMAEI
PLANISPHAERIVM.
IORDANI PLANISPHAERIVM.

FEDERICI COMMANDINI
VRBINATIS IN PTOLEMAEI
PLANISPHAERIVM
COMMENTARIVS.

I...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::primary, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::primary, Practical Geometry::secondary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-83","1559, Lyon - IOAN. BVTEONIS
DELPHINATIS
OPERA GEOME-
TRICA,

Qvorum titvli seqvntvr.

De arca Noë, cuius formæ, capacitatisq; fuerit.
De s...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::secondary, Construction::secondary, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unknown, Mechanics::secondary, Military Engineering::secondary, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::secondary, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-251","1560, Cologne - De fixis stellis commentarius tabulae bergenses aequabilis et adparentis motus orbium coelestium. Ad illustrissimum principem...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::primary, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-276","1560, Padua - Procli Diadochi Lycii philosophi platonici ac mathematici probatissimi In primum Euclidis Elementorum librum commentariorum a...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::primary, Trigonometry::unrelated"
"2I9HSY","1560, Paris - Livre de perspective","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unknown, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::primary, Practical Geometry::unknown, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-47","1561, Paris - Vsage.
ET DESCRIPTION
DE L’HOLOMETRE.

POUR SCAVOIR MESVRER
toutes choses qui sont soubs l’estanduë de
l’œil: Tant en longueu...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::primary, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::primary, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::primary, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-266","1563, Antwerp - Arithmetique de M. Valentin Mennher","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::secondary, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-282","1563, Paris - l'art d'arithmetique","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::secondary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-91","1563, Venice - Libro di arithmetica & geometria speculativa & praticale, composto per maestro Francesco Feliciano da Lazesio veronese intitu...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::primary, Trigonometry::unrelated"
"S105XB","1564, Frankfurt - Des circkels unnd richtscheyts auch der perspectiua und proportion der menschen und rosse kurtze doch gruendtliche underweisu...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::primary, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::primary, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-285","1564, London - The Welspring
of Sciences,
which teacheth the per-
fecte worke and practise of
Arithmeticke both in vvhole
numbers & Fraction...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-4","1564, Paris - Petit traicte de geometrie et d'horologiographie pratique","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::primary, Instrument Construction::unrelated, Instrument Use::secondary, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"L3XLGB","1564, Poitiers - La maniere de fere les solaires, que communement on appelle quadrans","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::primary, Instrument Construction::primary, Instrument Use::secondary, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::secondary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-33","1564, Venice - Del modo di misurare le distantie, le superficie, i corpi, le piante, le provincie, le prospettiue, & tutte le altre cose ter...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::primary, Practical Geometry::primary, Surveying::primary, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-39","1564, Venice - Della fortificatione delle città","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::secondary, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::secondary, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::primary, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unknown, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"UEIZFO","1565, Paris - Arithmetique entiere et abregee","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"YCXMIJ","1565, Paris - Deux livres de Proclus du mouvement, traduict et commenté","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::primary, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unknown, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-13","1565, Paris - La Practique de géométrie, descripte et démonstrée par Jean de Merliers","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unknown, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unknown, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"YPQYIR","1565, Paris - Le livre d'Archimède des pois","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::primary, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"YQDZSW","1565, Paris - Le premier livre des choses egallement pesantes","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::primary, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-27","1565, Venice - L’ARCHITETTVRA
DI LEON BATTISTA
ALBERTI
TRADOTTA IN LINGVA
Fiorentina da Cosimo Bartoli,
Gentilhuomo, & Academico
Fiorentino....","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::primary, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unknown, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unknown, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"K7DERJ","1567, Augsburg - Geometria et perspectiva. Hier inn etliche zerbrochne gebew den schreinr in eingelegter arbait dienstlich auch vil andern lie...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::secondary, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::primary, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-151","1567, Brescia - TAVOLE BREVISSIME
PER SAPERE CON PRESTEZZA
QVANTE FILE VANNO A FORMARE VNA
GVISTISSIMA BATTAGLIA.

CON LI SVOI ARMATI DI CORS...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::primary, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unknown, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-44","1567, Paris - LE
PREMIER
TOME DE L’AR
CHITECTVRE DE
PHILIBERT
DE L’ORME, CON
SEILLIER, ET AUMO
nier ordinaire du Roy,
& Abbé de S. Serge
le...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::primary, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unknown, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-71","1567, Venice - M. VITRVVII POLLIONIS
DE ARCHITECTVRA
LIBRI DECEM,

CVM COMMENTARIIS
DANIELIS BARBARI,
ELECTI PATRIARCHAE
AQVILEIENSIS;

MVLT...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::primary, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::secondary, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::secondary, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::secondary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"MIZPJ8","1568, Nuremberg - Perspectiva. Corporum regulariuM. Das ist ein fleyssige fürweysung wie die fünff regulirten cörper, darvon Plato inn Timaeo u...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::primary, Practical Geometry::secondary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"0NKS71","1568, Paris - La description d'un aneau horaire","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::primary, Instrument Construction::unrelated, Instrument Use::secondary, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::secondary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-18","1568, Salamanca - Obra intitulada fragmentos mathematicos","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::primary, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::secondary, Gnomonics & Horology::secondary, Instrument Construction::unrelated, Instrument Use::primary, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::secondary, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unknown, Trigonometry::unrelated"
"bib-26","1568, Venice - OPVSCOLI MORALI
DI
LEON BATTISTA
ALBERTI
GENTIL’HUOMO FIRENTINO,

Ne’ quali si contengono molti ammaestramenti,
necessarii al...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-21","1569, Basel - P. Rami arithmeticae libri duo: geometriae septem et viginti","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::primary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"Valencia_1569","1569, Valencia - Elementa Arithmeticae ac Geometriae","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::primary, Trigonometry::unrelated"
"JTRIRS","1569, Venice - La pratica della perspettiua di monsignor Daniel Barbaro eletto patriarca d'Aquileia. Opera molto utile a pittori, a scultori...","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::secondary, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::primary, Practical Geometry::secondary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"JXC181","1569, Venice - La pratica della perspettiva","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::secondary, Arithmetic::unrelated, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::primary, Practical Geometry::secondary, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"bib-252","1570 - EPHEMERIS  
IOANNIS STADII  
Leonnouthefsij, Anni  
à Virginco  
partu  

1570.","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::unrelated, Astronomy::primary, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unknown, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unknown, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
"E4JQEB","1570, Paris - L'arithmetique demonstree","Subject Categories","Classifies each edition against a fixed list of mathematical and related subject categories.","final_hybrid_v1_2026_06_03","Architecture::unrelated, Arithmetic::primary, Astronomy::unrelated, Cartography::unrelated, Commercial Mathematics::unrelated, Construction::unrelated, Cosmography::unrelated, Geography::unrelated, Gnomonics & Horology::unrelated, Instrument Construction::unrelated, Instrument Use::unrelated, Mechanics::unrelated, Military Engineering::unrelated, Music Theory::unrelated, Navigation::unrelated, Perspective::unrelated, Practical Geometry::unrelated, Surveying::unrelated, Theoretical Mathematics::unrelated, Trigonometry::unrelated"
